n,code,marque,h_estampille_halal,h_certificateur,h_lisibilite,h_commentaire,source_lecture
1,5411781006900,Beynur,oui,Halal International Control,zone_absente,,externe
2,3270120590607,Programme Ange Gardien,non,,nette,,image
3,3660014115564,Escale Gourmande,non,,,,non_code
4,2860093044019,Volandrie,non,,,,non_code
5,2000000006802,Soulié Restauration,non,,,,non_code
6,3760195571507,Boucherie,oui,AVS,zone_absente,,externe
7,3770004232376,le goût bourbon,non,,,,non_code
8,76214882,baluchon,oui,AVS,,,non_code
9,6111050005564,koutoubia,oui,Institut Marocain de Normalisation,nette,,image
10,3560071474713,Carrefour Sensation,non,,,,non_code
11,3770022585379,Hünkar,oui,Halal Verif,zone_absente,,externe
12,2213978074982,Chantal Plasse,non,,,,non_code
13,3336100000181,Colomba,non,,,,non_code
14,3838977026863,Perutnina,oui,Emirates International Accreditation Centre,zone_absente,,externe
15,2000000049840,"El Tequito, Lidl",non,,,,non_code
16,3529351092504,ADER,non,,,,non_code
17,3499150350719,Carf,non,,,,non_code
18,4027394005073,Yayla,oui,Halal Europe,nette,,image
19,2987086002006,Solexia,oui,,zone_absente,,externe
20,8423759061023,L'Oasis De dJerba,oui,Junta Islamica,nette,Garantia Halal de Junta Islamica (Institut Halal),image
21,3346235711005,Finesse de veau,non,,,,non_code
22,3266110050305,Bocaron,non,,,,non_code
23,4008460261227,Emin,oui,,zone_absente,,externe
24,0765857436388,Insectes Comestibles,non,,,,non_code
25,8711659036631,Si-bel,oui,Centre Islamique de Aachen,nette,,image
26,3760331570371,Mélanie Serre,non,,,,non_code
27,3499150342523,Rest'or chef,non,,,,non_code
28,3760084446046,Majonque,non,,,,non_code
29,3760247500028,Amin Omar,oui,,zone_absente,,externe
30,2457059021322,Les éleveurs de chez nous,non,,,,non_code
31,2688183075442,Morteau saucisse SAS,non,,,,non_code
32,20929923,Volaille Francaise,oui,Mosquée d'Evry-Courcouronnes,floue,,image
33,3499150326714,Rest'Chef,oui,,zone_absente,,externe
34,3230890439308,Maître CoQ,oui,,,,non_code
35,3381590007806,oumaty,oui,ACHAHADA,nette,,image
36,9120054460641,Hallal Center,oui,,zone_absente,,externe
37,3346384061037,Salaisons Cros,non,,,,non_code
38,7310240075472,Felix,non,,,,non_code
39,3375220502656,Raffin,non,,,,non_code
40,4260505990602,Tavuk Salam,oui,,zone_absente,,externe
41,3596692926171,Dar Al Mazak,oui,AFCAI,nette,,image
42,7826814980016,Boots,non,,,,non_code
43,0272515052151,Savyane,non,,,,non_code
44,5941460014587,Attayeb,oui,HIMS,nette,,image
45,4260193511400,Destan,oui,Halal-Institute,zone_absente,,externe
46,2435971025987,Saint Sauveur,non,,,,non_code
47,3276440774093,Médina Halal,oui,Mosquée d'Evry-Courcouronnes,trop_petite,,image
48,0226773029912,"Gastronome Distribution, Shems",oui,ARGML,nette,,image
49,5420014106423,LE DOMAINE DU LAC,non,,,,non_code
50,4056489362074,MSC LIDL,non,,,,non_code
51,3443705047791,El Dawaq,oui,,zone_absente,,externe
52,3760114530578,Aljadid Professionnel,oui,AVS,nette,,image
53,2336201007127,Demoizet,non,,,,non_code
54,3760114530295,Aljadid,oui,AVS,,,non_code
55,8717701002470,Sadia,oui,The Islamic Committee Office of Thailand,nette,,image
56,3375220201047,Le Petit Savoyard,non,,,,non_code
