"Numero de département","Numéro agrément/Approval number","SIRET","Raison SOCIALE - Enseigne commerciale/Name","Adresse/Adress","Code postal/Postal code","Commune/Town","Catégorie/Category","Activités associées/Associated activities","Espèce/Specy"
"01","01.034.002","85123773500010","SASU BRUNO CHANINET - L'AILE OU LA CUISSE"," 73 RUE DE LA REPUBLIQUE","01300","BELLEY","PP","VIII(PP);X(PP)",""
"01","01.053.006","33990964000015","GIRAUDET","Z.I. NORD 10 AV ARSENE D ARSONVAL","01000","BOURG-EN-BRESSE","PP","VIII(PP)",""
"01","01.053.007","19010819100015","ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE BOURG-EN-BRESSE - LEGTPA LYCEE AGRICOLE AGROALIMENTAIRE"," 79 AV DE JASSERON","01000","BOURG-EN-BRESSE","PP","I(CP);II(CP);VIII(PP);V(MP);XI(PP)",""
"01","01.053.009","34327898200107","ASSOCIATION TREMPLIN"," 623 CHEMIN D'ETERNAZ","01000","BOURG-EN-BRESSE","PP","VIII(PP);X(PP)",""
"01","01.053.015","35194101800027","SOCIETE NOUVELLE UTP"," 1 RUE JEAN GUTENBERG","01000","BOURG-EN-BRESSE","PP","V(MP)",""
"01","01.053.021","39210057400012","BRIDON DISTRIBUTION GASTRONOMIE - BOURG TRAITEUR"," 3 RUE GUICHENON","01000","BOURG-EN-BRESSE","PP","RC(CUISCEN);VIII(PP)",""
"01","01.093.055","32436815800014","DEPLATIERE SA"," 212 RUE LA TREDONNIERE","01400","CHATILLON-SUR-CHALARONNE","PP","",""
"01","01.159.002","32901020100039","ROLAND MONTERRAT - LYONVAL TRAITEUR","ZA SUD 226 RUE DE LA LOEZE","01570","FEILLENS","PP","VIII(PP)",""
"01","01.166.001","31182126800050","SAINT JEAN"," ZAC DU PARDY","01480","FRANS","PP","VIII(PP)",""
"01","01.187.001","10819171900021","MAISON GESLER","HOTONNES 41 RUE DU PONT","01260","HAUT VALROMEY","PP","I(CP);I(SH);V(MP)",""
"01","01.202.002","84993248800026","LE SECHOIR DU BUGEY","ZONE ARTISANALE LE GRAND BLOSSIEU","01150","LAGNIEU","PP","",""
"01","01.224.001","50439762100047","SIBERT LA BRESSE","ZI DE LA CROZE 415 RUE DE L'INDUSTRIE","01360","LOYETTES","PP","",""
"01","01.241.002","84797082900010","LES SALAISONS DE MEILLONNAS"," 115 RTE DE LAGUNAGE POLE D ACTIVITES DES","01370","MEILLONNAS","PP","",""
"01","01.241.003","84797082900028","LES SALAISONS DE MEILLONNAS"," MOULIN D EN BAS","01370","MEILLONNAS","PP","",""
"01","01.244.052","95117133900017","MAISON CHABAUD"," 28 RUE DE GENEVE","01800","MEXIMIEUX","PP","",""
"01","01.249.002","44851238400091","SODELY - SALAISONS STEMMELEN STEMMY LA TRADITION AU GOUT DU JOUR STEMMELEN","ZAC DE ROSARGE LES ECHETS LES ECHETS","01700","MIRIBEL","PP","",""
"01","01.263.001","77020087100042","LES FILS DE BENOIT DIENNET - CHARCUTERIE SALAISONS","LE PELEU 2385 LE PELEUX","01090","MONTMERLE-SUR-SAONE","PP","I(CP);V(MP)",""
"01","01.269.093","75253466900029","LE GOURMET CATHOLARD"," RTE DE GENEVE","01130","NANTUA","PP","VIII(MSFP)",""
"01","01.275.002","83143616700041","TOKE","BAT 4 ZA CHAMP DU PERIER 25 PORTE DU GRAND LYON","01700","NEYRON","PP","",""
"01","01.336.002","48511501800023","CRYSTAL"," 450 RUE DE LA MAIRIE","01960","SAINT-ANDRE-SUR-VIEUX-JONC","PP","",""
"01","01.391.002","34841688400057","EUROPEENNE GASTRONOMIQUE DE CHARCUTERIE"," LES CAPETTES","01270","SALAVRE","PP","VIII(PP)",""
"01","01.405.004","50439762100021","SIBERT LA BRESSE"," 600 CHEMIN DE LONGCHAMP","01960","SERVAS","PP","",""
