code,product_name,brands,sous_categorie
3234814510012,Saucisson sec Halal blanc,,charcuterie_seche
3234814640016,Saucisson sec halal,,charcuterie_seche
3273625873893,4 Andouillettes de Troyes à griller,"Cooperl, Sans marque",charcuterie_cuite
3283040048585,Pizza jambon de dinde emmental halal,Réghalal,plats_cuisines
3283040348098,Pizza Réghalal Dinde chèvre halal,Réghalal,plats_cuisines
3378740002880,Lardons de volaille fumés,,charcuterie_cuite
3416510001593,Paté de campagne de volaille au piment,,charcuterie_cuite
3423310004389,Tranche de Bacon,,autres_carnes
3459860004883,Saucisson cuit boeuf volaille fumé,Isla Mondial,charcuterie_seche
3512690000095,"Sauciss Delice Fume,",Isla delice,charcuterie_seche
3512690000675,Saucisson sec pur boeuf,Isla Délice,charcuterie_seche
3512690001139,"Le Sec Nature 280G,",Isla delice,charcuterie_seche
3512690001665,Isla delice halal le sec pur boeuf epice,Isla Délice,charcuterie_seche
3512690003379,Lardons Fumés,"Herta, Isla delice",charcuterie_cuite
3512690003478,Bacon de Dinde à poêler,Isla Délice,charcuterie_cuite
3512690004352,Saucisson sec - Pur boeuf,Isla delice,charcuterie_seche
3700141400666,Le Sec nature - 30 tranches,Oriental Viandes,charcuterie_seche
3700141402028,Chick'n croc,Oriental Viandes,charcuterie_seche
3700141402790,Saucisson sec halal,Carrefour,charcuterie_seche
3700141404541,Le sec nature halal,Prix Top,charcuterie_seche
3760114530363,Chorizo les gourmets,Al Jadid,charcuterie_seche
3838977011494,Poli cheese,poli,charcuterie_seche
4027394007503,Hindi Salami,Fulya,autres_carnes
4047187001709,Tavuk Salam,SELAM,charcuterie_seche
4056489277279,Cachir goût Veau,Lidl,charcuterie_seche
60240101,Saucisson sec halal,Isla Délice,charcuterie_seche
