sous_categorie,n_halal,n_temoin,sel_median_halal,sel_q1_halal,sel_q3_halal,sel_median_temoin,sel_q1_temoin,sel_q3_temoin,diff_medianes,ic95_bas,ic95_haut,testable_regle_30
autres_carnes,358,15798,1.8,1.21,2.52,1.3,0.4,1.9,0.5,0.4,0.7,True
charcuterie_cuite,343,13208,2.4,1.9,3.0,1.9,1.7,2.5,0.5,0.5,0.6,True
panes,290,3020,1.27,1.0,1.5,1.0,0.73,1.29,0.27,0.24,0.3,True
saucisses,240,5778,2.2,1.83,2.57,1.9,1.7,2.2,0.3,0.165,0.3,True
charcuterie_seche,235,6031,3.6,2.6,4.4,4.3,3.4,4.8,-0.7,-0.8,-0.5,True
decoupes,208,7939,1.3,0.56,1.8,0.25,0.13,1.21,1.05,0.94,1.25,True
plats_cuisines,142,10770,1.15,0.9,1.5,0.87,0.7,1.1,0.28,0.13,0.4,True
viande_hachee,104,1118,0.2,0.17,0.81,0.22,0.17,0.84,-0.02,-0.02,0.0,True
rillettes_pates_mousses,40,5666,1.55,1.4,1.9,1.5,1.2,1.7,0.05,0.0,0.35,True
_ensemble_,1960,69328,1.8,1.2,2.6,1.5,0.83,2.0,0.3,0.3,0.4,True
