sous_categorie,bras,n_note,pct_DE,score_moyen,score_median
autres_carnes,halal,356,65.7,11.58,12.0
autres_carnes,temoin,16043,52.6,10.39,11.0
charcuterie_cuite,halal,342,76.3,12.68,14.0
charcuterie_cuite,temoin,13696,76.8,14.98,13.0
charcuterie_seche,halal,235,99.1,26.76,28.0
charcuterie_seche,temoin,6143,99.3,29.57,33.0
decoupes,halal,204,41.7,5.84,3.0
decoupes,temoin,8317,9.3,-0.9,-2.0
panes,halal,293,46.4,7.31,6.0
panes,temoin,3103,21.9,4.03,3.0
plats_cuisines,halal,142,29.6,7.32,5.0
plats_cuisines,temoin,11075,19.3,5.46,4.0
rillettes_pates_mousses,halal,40,90.0,16.18,17.5
rillettes_pates_mousses,temoin,5821,92.4,17.87,19.0
saucisses,halal,241,95.4,17.68,18.0
saucisses,temoin,5988,92.8,18.7,19.0
viande_hachee,halal,103,52.4,9.87,11.0
viande_hachee,temoin,1129,34.1,7.66,6.0
