rang,rang_min,rang_max,marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes,gamme_halal,profil
1,1,9,dam,17,-17.0,-19.0,-12.5,sous 30,3,non,hors bras halal
2,1,9,evasion-festive,50,-15.0,-15.0,-13.0,franchie,3,non,hors bras halal
3,1,9,petit-navire,15,-15.0,-15.0,-13.0,sous 30,1,non,hors bras halal
4,1,21,saveurs-forestieres,29,-14.0,-16.0,-6.0,sous 30,4,non,hors bras halal
5,1,9,la-table-du-fermier,19,-13.0,-13.0,-13.0,sous 30,5,non,hors bras halal
6,1,28,les-mouettes-d-arvor,15,-13.0,-14.025,-5.0,sous 30,1,non,hors bras halal
7,1,398,randy,18,-11.5,-13.0,15.0,sous 30,5,non,hors bras halal
8,5,68,nature-de-france,126,-10.0,-10.0,-3.0,franchie,13,non,hors bras halal
9,5,17,l-etal-du-boucher,535,-10.0,-12.0,-7.0,franchie,19,non,hors bras halal
10,1,138,boucherie-st-clement,62,-7.0,-13.0,-2.0,franchie,8,non,hors bras halal
11,1,21,groix-nature,24,-7.0,-13.0,-5.5,sous 30,1,non,hors bras halal
12,6,21,saint-agaune,56,-6.0,-6.0,-6.0,franchie,4,non,hors bras halal
13,9,68,les-delices-de-lyon,24,-4.0,-5.0,-3.0,sous 30,10,non,hors bras halal
14,10,138,duc,27,-4.0,-4.0,-2.0,sous 30,7,oui,gamme halal minoritaire
15,10,47,la-nouvelle-agriculture,1039,-4.0,-4.0,-4.0,franchie,19,non,hors bras halal
16,9,138,l-atelier-du-poissonnier,15,-4.0,-5.0,-2.0,sous 30,1,non,hors bras halal
17,10,301,les-fermiers-de-loue,55,-3.0,-4.0,0.0,franchie,5,non,hors bras halal
18,10,68,tripes-paillard,19,-3.0,-4.0,-3.0,sous 30,3,non,hors bras halal
19,5,395,pedrazzoli,19,-3.0,-11.0,11.0,sous 30,7,non,hors bras halal
20,10,208,soelia,15,-3.0,-4.0,-1.0,sous 30,3,non,hors bras halal
21,10,68,loue,213,-3.0,-4.0,-3.0,franchie,9,non,hors bras halal
22,5,346,golfera,25,-3.0,-8.0,1.0,sous 30,11,non,hors bras halal
23,9,346,les-legendaires,17,-3.0,-5.0,1.0,sous 30,7,non,hors bras halal
24,10,373,le-gaulois-ocb-oui-c-est-bon,17,-3.0,-4.0,2.0,sous 30,2,non,hors bras halal
25,9,208,cochonnailles-du-haut-bois,28,-3.0,-5.0,-1.0,sous 30,8,non,hors bras halal
26,5,208,panzani,110,-2.5,-10.0,-1.0,franchie,9,non,hors bras halal
27,11,301,les-occitanes,26,-2.0,-3.0,0.0,sous 30,9,non,hors bras halal
28,15,138,fleury-michon,1015,-2.0,-2.0,-2.0,franchie,27,oui,gamme halal minoritaire
29,15,138,seazon,131,-2.0,-2.0,-2.0,franchie,10,non,hors bras halal
