categorie_off,n_halal
en:meats-and-their-products,2351
en:meats,1679
en:poultries,1011
en:prepared-meats,964
en:chicken-and-its-products,826
en:chickens,653
en:meat-preparations,573
fr:charcuteries-cuites,356
en:turkey-and-its-products,322
en:breaded-products,315
en:chicken-preparations,305
en:turkeys,294
en:sausages,281
en:poultry-hams,277
en:cured-sausages,207
en:beef-and-its-products,202
en:beef,186
en:meals,180
en:breaded-chicken,174
en:meals-with-meat,165
en:poultry-sausages,149
en:cooked-chicken-breast-slices,148
en:frozen-foods,126
en:cooked-poultries,113
en:chicken-breasts,108
en:steaks,104
en:poultry-meals,103
en:poultry-nuggets,98
en:ground-steaks,97
en:beef-steaks,95
en:cordons-bleus,94
en:turkey-preparations,94
en:ground-beef-steaks,93
en:cooked-turkey-breast-slices,88
en:cooked-chicken,77
en:salami,75
en:chicken-nuggets,73
en:frozen-meats,72
en:meals-with-chicken,66
en:beef-preparations,60
en:chicken-sausages,59
fr:charcuteries-diverses,52
en:dry-sausages,52
en:beef-dishes,47
en:chicken-thighs,45
en:chicken-wings,42
en:turkey-cordons-bleus,40
en:turkey-cutlets,39
en:mortadella,39
en:ground-meat-preparations,38
