certificateur,n_produits,n_marques
fr:societe-francaise-de-controle-de-viande-halal,116,19
en:societe-francaise-de-controle-de-viande-halal-grande-mosquee-de-paris,44,7
en:halal-food-council-of-europe,28,8
fr:societe-francaise-de-controle-de-viande-halal-grande-mosquee-de-paris,6,2
fr:tracabilite-100-halal,3,1
fr:halal-certification-germany,3,3
en:societe-francaise-de-controle-de-viande-halal,2,2
en:label-certification-halal,1,1
fr:controle-certification-avs-halal,1,1
fr:id-halal,1,1
en:tracabilite100halal,1,1
fr:controle-mosquee-de-paris-halal,1,1
fr:controle-grande-mosquee-de-lyon-halal,1,1
fr:halal-food-concil-of-europe,1,1
fr:organisme-de-controle-independant-avs-halal,1,1
fr:halal-mosquee-courcouronnes,1,1
