additif,n,dont_halal
en:e250,11321,519.0
en:e301,6399,325.0
en:e316,3867,217.0
en:e14xx,3416,110.0
en:e252,3236,75.0
en:e300,2735,150.0
en:e262,2702,252.0
en:e451,2542,348.0
en:e450,2436,388.0
en:e330,2302,96.0
en:e407,2077,170.0
en:e326,1934,94.0
en:e415,1736,29.0
en:e331,1695,172.0
en:e150a,1217,93.0
en:e120,1134,26.0
en:e428,1130,4.0
en:e412,1034,31.0
en:e621,1029,188.0
en:e452,999,115.0
en:e160c,984,64.0
en:e262i,922,33.0
en:e202,811,25.0
en:e325,789,120.0
en:e392,540,26.0
en:e500,486,45.0
en:e471,398,11.0
en:e270,365,10.0
en:e407a,355,14.0
en:e509,283,4.0
en:e224,279,0.0
en:e100,259,7.0
en:e401,250,6.0
en:e451i,249,26.0
en:e327,249,10.0
en:e450i,247,25.0
en:e261,239,5.0
en:e223,214,3.0
en:e322,214,5.0
en:e162,213,25.0
en:e260,211,7.0
en:e1400,205,26.0
en:e460,202,13.0
en:e160a,198,20.0
en:e575,179,39.0
en:e160b,176,7.0
en:e331iii,166,3.0
en:e500ii,166,14.0
en:e262ii,162,16.0
en:e150,157,8.0
en:e322i,155,4.0
en:di-and-triphosphates,155,45.0
en:e150c,150,5.0
en:e263,147,7.0
en:e410,139,5.0
en:e235,135,5.0
en:e508,119,11.0
en:e450iii,114,10.0
en:e160,102,7.0
en:e315,101,7.0
en:e222,100,1.0
en:e220,99,0.0
en:e461,91,1.0
en:e170,89,3.0
en:e170i,87,1.0
en:e422,87,0.0
en:e150d,82,3.0
en:e339,81,14.0
en:e267,78,0.0
en:e466,78,7.0
en:e500i,76,10.0
en:e160ai,75,8.0
en:e503,73,5.0
en:e251,72,0.0
en:e579,70,3.0
en:e553,70,0.0
en:e553b,69,0.0
en:e200,69,6.0
en:e472e,68,6.0
en:e282,68,3.0
en:e440,62,0.0
en:e1105,62,0.0
en:e406,60,0.0
en:e631,59,8.0
en:e334,57,8.0
en:e211,55,1.0
en:e161b,52,2.0
en:e101,52,1.0
en:e306,50,0.0
en:e150b,49,5.0
en:e551,49,5.0
en:e452i,48,1.0
en:e420,47,2.0
en:e627,46,7.0
en:e1442,46,2.0
en:e341,44,5.0
en:e417,44,11.0
en:e249,42,0.0
en:e160bii,42,0.0
en:e503ii,37,3.0
en:e635,27,0.0
en:e304,26,1.0
en:e296,24,1.0
en:e920,24,1.0
en:e404,23,0.0
en:e1422,22,5.0
en:e331i,21,0.0
en:e101i,21,0.0
en:e516,21,2.0
en:e1420,20,3.0
en:e414,20,1.0
en:e320,19,2.0
en:e451ii,18,0.0
en:e221,17,1.0
en:e172,17,2.0
en:e464,16,0.0
en:e472c,16,1.0
en:e339ii,14,3.0
en:e332,13,0.0
en:e164,13,0.0
en:e452ii,13,0.0
en:e450v,13,0.0
en:e450ii,12,2.0
en:e331ii,12,2.0
en:e524,12,1.0
en:e304i,12,1.0
en:e504,11,0.0
en:e473,11,0.0
en:e385,10,1.0
en:e341ii,10,3.0
en:e310,10,2.0
en:e481,10,0.0
en:e501,10,0.0
en:e576,9,0.0
en:e1414,9,0.0
en:e228,9,0.0
en:e1412,8,3.0
en:e472b,8,0.0
en:e460ii,8,0.0
en:e321,8,0.0
en:e535,8,1.0
en:e155,8,2.0
en:e502,8,1.0
en:e171,8,2.0
en:e290,8,1.0
en:e340,7,0.0
en:e1404,7,0.0
en:e491,7,1.0
en:e1101,7,0.0
en:e172ii,7,0.0
en:e1510,7,0.0
en:e160bi,7,0.0
en:e900,6,0.0
en:e201,6,0.0
en:e102,6,1.0
en:e501i,6,0.0
en:e335,6,0.0
en:e511,6,0.0
en:e472,6,1.0
en:e203,5,0.0
en:potassium-iodide,5,0.0
en:e339i,5,1.0
en:e163,5,0.0
en:e470a,5,0.0
en:e425,5,0.0
en:e175,4,0.0
en:e335i,4,0.0
en:e504i,4,0.0
en:e435,4,0.0
en:e338,4,0.0
en:e141,4,0.0
en:e503i,4,0.0
en:e526,3,0.0
en:e302,3,0.0
en:e210,3,0.0
en:e948,3,0.0
en:e1100,3,0.0
en:e420ii,3,0.0
en:e960,3,0.0
en:e328,3,0.0
en:e243,3,0.0
en:e341i,3,0.0
en:e307,3,1.0
en:e452vi,3,0.0
en:e917,2,0.0
en:e280,2,1.0
en:e319,2,0.0
en:e283,2,0.0
en:e352,2,0.0
en:e955,2,0.0
en:e536,2,0.0
en:e541,2,0.0
en:e1201,2,0.0
en:e218,2,0.0
en:e160aii,2,0.0
en:amino-acids,2,0.0
en:e160d,2,0.0
en:e225,2,0.0
ca:carbonat-acid-de-sodi-i-difosfat-de-disodi,2,0.0
en:e457,2,0.0
en:e542,2,0.0
en:e460i,2,0.0
en:e236,2,0.0
en:e129,2,0.0
en:e1520,2,0.0
en:e160aiii,2,0.0
en:e341iii,2,0.0
en:e433,2,0.0
en:e421,2,0.0
en:e281,2,0.0
en:e476,2,0.0
en:e405,2,0.0
en:e570,2,0.0
en:e318,2,0.0
en:e418,2,0.0
en:e153,2,0.0
en:e317,2,0.0
en:e313,2,0.0
en:e425i,2,0.0
en:e15x,2,0.0
en:e336,2,0.0
en:e314,1,0.0
en:e521,1,0.0
en:e333,1,0.0
en:e232,1,0.0
en:e468,1,1.0
en:e363,1,0.0
en:e522,1,0.0
en:e472a,1,0.0
en:e350,1,0.0
en:e450iv,1,0.0
en:e462,1,0.0
en:e927b,1,0.0
en:e507,1,0.0
en:e122,1,0.0
en:e482,1,1.0
en:e510,1,0.0
en:e124,1,0.0
en:e216,1,0.0
en:e303,1,0.0
en:e452iii,1,0.0
en:e110,1,0.0
en:e411,1,0.0
en:e637,1,0.0
en:e1450,1,0.0
en:e504ii,1,0.0
en:e446,1,0.0
en:e140i,1,0.0
en:e543,1,0.0
en:e133,1,0.0
en:e127,1,0.0
en:e965,1,0.0
en:e965ii,1,0.0
en:e953,1,0.0
en:e640,1,0.0
en:e530,1,0.0
en:e550,1,0.0
en:e420i,1,0.0
en:e1103,1,0.0
en:e337,1,0.0
en:e620,1,0.0
en:e353,1,0.0
en:e340ii,1,0.0
en:e515,1,0.0
en:e622,1,0.0
en:e230,1,0.0
en:e913,1,0.0
en:e445,1,0.0
en:e477,1,1.0
en:e381,1,0.0
en:e520,1,0.0
en:e355,1,0.0
en:e927,1,0.0
en:e1518,1,0.0
en:e432,1,1.0
en:e226,1,0.0
en:e916,1,0.0
en:e416,1,0.0
en:e142,1,0.0
en:e1421,1,0.0
en:e140,1,0.0
en:e413,1,0.0
