strate,n_halal,n_temoin,median_halal,median_temoin,diff,ic95_bas,ic95_haut
autres_carnes,356,15715,2.3,3.3,-1.0,-1.35,-0.65
charcuterie_cuite,343,13206,0.9,3.1,-2.2,-2.47,-2.0
charcuterie_seche,235,6031,9.4,11.6,-2.2,-3.6,-0.6
decoupes,91,6130,0.9,0.55,0.35,0.02,0.9
panes,290,2155,2.5,2.2,0.3,0.1,0.535
plats_cuisines,142,10752,1.8,1.98,-0.177,-0.525,0.2
preparations_marinees,113,1776,2.9,2.5,0.4,-0.1,0.8
rillettes_pates_mousses,39,5594,6.8,10.0,-3.2,-5.1,1.0
saucisses,240,5778,5.4,8.33,-2.93,-3.1,-2.7
viande_hachee,104,1118,8.0,6.0,2.0,1.699,2.45
