strate,n_halal,n_temoin,median_halal,median_temoin,diff,ic95_bas,ic95_haut
autres_carnes,357,15715,16.5,19.0,-2.5,-3.0,-2.0
charcuterie_cuite,343,13206,17.5,20.9,-3.4,-4.2,-2.5
charcuterie_seche,235,6029,19.0,26.0,-7.0,-8.0,-5.1
decoupes,91,6129,21.0,23.0,-2.0,-3.2,-1.0
panes,290,2155,13.0,15.0,-2.0,-2.0,-1.2
plats_cuisines,142,10752,7.92,8.3,-0.385,-1.05,1.15
preparations_marinees,113,1776,17.0,19.0,-2.0,-3.0,-2.0
rillettes_pates_mousses,39,5594,15.0,14.0,1.0,-2.0,3.0
saucisses,240,5778,13.0,15.0,-2.0,-2.2,-1.7
viande_hachee,104,1118,18.0,19.0,-1.0,-2.0,-0.7
