strate,n_halal,n_temoin,median_halal,median_temoin,diff,ic95_bas,ic95_haut
autres_carnes,355,15642,1.8,1.3,0.5,0.4,0.7
charcuterie_cuite,342,13143,2.4,1.9,0.5,0.5,0.6
charcuterie_seche,234,6007,3.6,4.3,-0.7,-0.8,-0.5
decoupes,91,6124,0.4,0.18,0.22,0.03,1.02
panes,290,2149,1.27,1.1,0.17,0.14,0.2
plats_cuisines,142,10735,1.15,0.87,0.28,0.13,0.4
preparations_marinees,112,1765,1.64,1.0,0.635,0.4,0.735
rillettes_pates_mousses,39,5577,1.5,1.5,0.0,0.0,0.3
saucisses,238,5733,2.19,1.9,0.288,0.157,0.3
viande_hachee,104,1117,0.2,0.22,-0.02,-0.02,0.0
