strate,n_halal,n_temoin,median_halal,median_temoin,diff,ic95_bas,ic95_haut
autres_carnes / dinde,78,518,2.4,0.85,1.55,1.3,1.9
autres_carnes / poulet,162,1800,1.6,1.0,0.6,0.46,0.8
charcuterie_cuite / dinde,113,195,2.69,1.78,0.91,0.7,1.15
charcuterie_cuite / poulet,150,718,2.33,1.8,0.525,0.3,0.6
charcuterie_cuite / volaille_autre,40,121,2.66,1.8,0.855,0.6,1.2
decoupes / poulet,70,4837,0.21,0.2,0.005,-0.02,0.65
panes / dinde,69,628,1.27,0.86,0.41,0.34,0.47
panes / poulet,167,937,1.3,1.12,0.181,0.1,0.3
plats_cuisines / boeuf,39,2295,1.0,0.8,0.2,0.1,0.4
plats_cuisines / poulet,66,2981,1.23,0.8,0.425,0.2,0.485
preparations_marinees / poulet,93,1369,1.6,1.1,0.5,0.3,0.7
saucisses / poulet,51,141,2.3,1.9,0.4,0.29,0.629
saucisses / volaille_autre,72,329,2.0,1.7,0.3,0.165,0.55
viande_hachee / boeuf,100,931,0.2,0.22,-0.017,-0.03,0.01
