marque,n_catalogue,n_halal,part,famille,preuve_mdd,enseigne
aia,93,21,22.6,industriel,,
al-jadid,24,22,91.7,specialiste_halal,,
al-jayid,8,8,100.0,specialiste_halal,,
aladin,8,6,75.0,specialiste_halal,,
aljadid,12,9,75.0,specialiste_halal,,
arabi,49,48,98.0,specialiste_halal,,
baktat,6,5,83.3,specialiste_halal,,
carrefour,2867,61,2.1,mdd,nom_enseigne,Carrefour
dabia,13,13,100.0,specialiste_halal,,
dounia-halal,14,14,100.0,specialiste_halal,,
doux,19,5,26.3,industriel,,
duc,41,5,12.2,industriel,,
efepasa,5,5,100.0,specialiste_halal,,
el-benna,9,9,100.0,specialiste_halal,,
esma,8,7,87.5,specialiste_halal,,
fleury-michon,1084,75,6.9,industriel,,
halal,24,23,95.8,specialiste_halal,,
hunkar,17,14,82.4,specialiste_halal,,
id-halal,38,38,100.0,specialiste_halal,,
isla-delice,192,190,99.0,specialiste_halal,,
isla-mondial,80,78,97.5,specialiste_halal,,
jack-link-s,42,6,14.3,industriel,,
kamar,9,8,88.9,specialiste_halal,,
kenza,11,11,100.0,specialiste_halal,,
kenza-halal,14,14,100.0,specialiste_halal,,
l-atelier-de-noor,8,8,100.0,specialiste_halal,,
lidl,443,8,1.8,mdd,nom_enseigne,Lidl
mahdia,14,14,100.0,specialiste_halal,,
medina,13,13,100.0,specialiste_halal,,
medina-halal,15,15,100.0,specialiste_halal,,
oriental-viandes,91,85,93.4,specialiste_halal,,
oumaty,12,8,66.7,specialiste_halal,,
reghalal,147,129,87.8,specialiste_halal,,
royal-halal,30,30,100.0,specialiste_halal,,
shems,6,6,100.0,specialiste_halal,,
socopa,265,7,2.6,industriel,,
suntat,25,25,100.0,specialiste_halal,,
volibon,15,15,100.0,specialiste_halal,,
wassila,22,22,100.0,mdd,brand_owner,Casino
yayla,14,8,57.1,specialiste_halal,,
zahra,9,8,88.9,specialiste_halal,,
