famille,marque,n,ecart,sel
industriel,aia,20,5.0,0.42
industriel,doux,4,-2.5,-0.16
industriel,duc,3,-4.0,-0.09
industriel,fleury-michon,70,0.0,0.0
industriel,jack-link-s,6,4.5,-0.02
industriel,socopa,5,1.0,0.0
mdd,carrefour,39,1.0,0.2
mdd,lidl,7,-2.0,-0.08
mdd,wassila,21,4.0,0.49
specialiste_halal,al-jadid,19,6.0,0.32
specialiste_halal,al-jayid,7,8.0,0.22
specialiste_halal,aladin,3,5.0,0.55
specialiste_halal,aljadid,8,3.0,0.01
specialiste_halal,arabi,43,10.0,0.6
specialiste_halal,baktat,4,2.5,1.14
specialiste_halal,dabia,4,0.5,-0.08
specialiste_halal,dounia-halal,10,0.0,0.09
specialiste_halal,efepasa,5,-5.0,-1.3
specialiste_halal,el-benna,8,9.0,0.71
specialiste_halal,esma,7,3.0,0.59
specialiste_halal,halal,19,6.0,0.37
specialiste_halal,hunkar,13,5.0,0.26
specialiste_halal,id-halal,35,2.0,0.37
specialiste_halal,isla-delice,181,4.0,0.9
specialiste_halal,isla-mondial,74,2.5,0.2
specialiste_halal,kamar,6,-2.0,-0.4
specialiste_halal,kenza,11,-1.0,-0.02
specialiste_halal,kenza-halal,12,9.5,0.7
specialiste_halal,l-atelier-de-noor,8,-1.0,-0.2
specialiste_halal,mahdia,13,9.0,0.7
specialiste_halal,medina,9,1.0,0.1
specialiste_halal,medina-halal,9,1.0,0.8
specialiste_halal,oriental-viandes,80,4.0,0.39
specialiste_halal,oumaty,7,-1.0,-0.05
specialiste_halal,reghalal,97,6.0,0.41
specialiste_halal,royal-halal,29,1.0,-0.0
specialiste_halal,shems,4,11.0,0.9
specialiste_halal,suntat,21,6.0,0.6
specialiste_halal,volibon,15,14.0,0.7
specialiste_halal,yayla,7,9.0,0.5
specialiste_halal,zahra,8,1.0,0.1
