strate,n,n_mdd,ecart_mdd,n_industriel,ecart_industriel,n_specialiste_halal,ecart_specialiste_halal,testable
charcuterie_cuite / poulet,117,4,1.0,35,0.0,78,11.0,True
charcuterie_cuite / dinde,92,10,11.0,12,-0.5,70,12.0,False
charcuterie_seche / indetermine,66,3,-15.0,0,,63,-5.0,False
autres_carnes / poulet,61,6,-1.0,3,10.0,52,11.0,False
panes / poulet,57,3,7.0,5,6.0,49,0.0,False
panes / dinde,51,4,12.0,6,5.0,41,12.0,False
viande_hachee / boeuf,45,3,1.0,3,1.0,39,2.0,False
autres_carnes / dinde,44,3,15.0,1,3.0,40,17.0,False
saucisses / volaille_autre,40,1,3.0,0,,39,3.0,False
saucisses / indetermine,35,4,-4.5,3,3.0,28,-0.5,False
charcuterie_cuite / volaille_autre,28,1,0.0,6,-14.0,21,-1.0,False
autres_carnes / indetermine,26,2,-10.5,4,-5.0,20,-1.0,False
charcuterie_seche / dinde,25,1,-2.0,3,-2.0,21,0.0,False
plats_cuisines / poulet,24,2,5.0,0,,22,1.0,False
charcuterie_cuite / indetermine,22,3,-1.0,1,-11.0,18,2.5,False
preparations_marinees / poulet,22,4,1.0,2,14.0,16,10.0,False
decoupes / poulet,19,3,-4.0,4,-2.0,12,1.5,False
rillettes_pates_mousses / volaille_autre,16,0,,4,1.0,12,-6.0,False
saucisses / poulet,15,1,3.0,4,0.0,10,2.5,False
autres_carnes / boeuf,14,0,,1,3.0,13,19.0,False
charcuterie_seche / boeuf,13,0,,6,4.5,7,8.0,False
charcuterie_seche / porc,12,2,-8.0,0,,10,0.5,False
panes / boeuf,9,1,1.0,0,,8,7.0,False
saucisses / agneau,9,2,-2.0,1,1.0,6,-6.0,False
autres_carnes / volaille_autre,7,1,9.0,2,12.5,4,-0.5,False
preparations_marinees / boeuf,6,2,1.0,0,,4,5.5,False
preparations_marinees / dinde,6,0,,2,1.0,4,14.5,False
decoupes / dinde,4,0,,1,8.0,3,19.5,False
