agrement,nom,n_noms,commune,cp,n_siret,listes
01.004.002,CENTRE VIANDES BEAUVALLET FILS,1,AMBERIEU-EN-BUGEY,01500,1,2
01.025.059,GAEC MANIGAND,1,BAGE-LA-VILLE,01380,1,1
01.033.001,SBA,1,BELLEGARDE-SUR-VALSERINE,01200,1,1
01.033.002,VALSERINE FROMAGERIE,1,VALSERHONE,01200,1,1
01.033.060,SBA,1,BELLEGARDE-SUR-VALSERINE,01200,1,1
01.034.002,SASU BRUNO CHANINET - L'AILE OU LA CUISSE,1,BELLEY,01300,1,1
01.038.050,GAEC POBEL-LA FERME AUX 7 SOURCES,1,BENY,01370,1,1
01.038.053,POBEL BEATRICE,1,BENY,01370,1,1
01.040.050,GAEC LAMBERET ANGELE ET RAPHAEL,1,BEREZIAT,01340,1,1
01.047.001,S P I,1,BLYES,01150,1,1
01.053.002,AIN SAONE ET LOIRE TRANSPORTS,1,BOURG-EN-BRESSE,01000,1,1
01.053.003,ABATTOIRS DES CRETS,1,BOURG-EN-BRESSE,01000,1,1
01.053.005,FRANCE SELECT - VOLAILLES DE L'EUROPEAIN / L'EUROPEAIN,2,BOURG-EN-BRESSE,01000,1,3
01.053.006,GIRAUDET,1,BOURG-EN-BRESSE,01000,1,1
01.053.007,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE BOURG-EN-BRESSE - LEGTPA LYCEE AGRICOLE AGROALIMENTAIRE / LYCEE ENSEIGNEMENT GTPA LES SARDIERES,2,BOURG-EN-BRESSE,01000,1,4
01.053.009,ASSOCIATION TREMPLIN,1,BOURG-EN-BRESSE,01000,1,1
01.053.010,LE MONDE DU HALAL,1,BOURG-EN-BRESSE,01000,1,1
01.053.015,SOCIETE NOUVELLE UTP,1,BOURG-EN-BRESSE,01000,1,2
01.053.018,GENEDIS - PROMOCASH AVEC VOUS,1,BOURG-EN-BRESSE,01000,1,1
01.053.021,BRIDON DISTRIBUTION GASTRONOMIE - BOURG TRAITEUR,1,BOURG-EN-BRESSE,01000,1,1
01.053.024,TROPAL VIANDES SAS,1,BOURG-EN-BRESSE,01000,1,1
01.053.030,COMPAGNIE D'ABATTAGE DE BOURG,1,BOURG-EN-BRESSE,01000,1,2
01.053.034,ABATTOIRS DES CRETS,1,BOURG-EN-BRESSE,01000,1,2
01.053.052,ABATTOIRS DES CRETS,1,BOURG-EN-BRESSE,01000,1,1
01.074.003,DELICA FRANCE - MIFROMA FRANCE,1,CHALAMONT,01320,1,1
01.074.005,AGRITRANS,1,CHALAMONT,01320,1,1
01.093.055,DEPLATIERE SA,1,CHATILLON-SUR-CHALARONNE,01400,1,1
01.127.001,SCEA DES BRESSANS,1,COURMANGOUX,01370,1,1
01.140.050,CORMARECHE MAX,1,CURTAFOND,01310,1,1
01.140.051,EARL SIBELLE,1,CURTAFOND,01310,1,1
01.140.052,EARL DES TAMARIS,1,CURTAFOND,01310,1,1
01.144.051,EARL FERME DE LA CHESNAIE,1,DOMMARTIN,01380,1,2
01.151.050,MAISON JANTON,1,DRUILLAT,01160,1,3
01.159.002,ROLAND MONTERRAT - LYONVAL TRAITEUR,1,FEILLENS,01570,1,1
01.163.050,EARL BEZENTET,1,FOISSIAT,01340,1,1
01.163.053,FERME DE CORCELLES,1,FOISSIAT,01340,1,1
01.165.054,SARL LA FERME DE COLLONGES,1,FRANCHELEINS,01090,1,1
01.166.001,SAINT JEAN,1,FRANS,01480,1,1
01.187.001,MAISON GESLER / SA GESLER,2,HAUT VALROMEY,01260,2,4
01.188.050,GAEC DU ROGET,1,ILLIAT,01140,1,1
01.188.051,BIAGUI NATHALIE,1,ILLIAT,01140,1,1
01.195.052,CHANEL LOIC,1,JASSERON,01250,1,1
01.202.002,LE SECHOIR DU BUGEY,1,LAGNIEU,01150,1,1
01.224.001,SIBERT LA BRESSE,1,LOYETTES,01360,1,1
01.226.050,BILLET JOEL,1,MONTREVEL-EN-BRESSE,01340,1,1
01.230.051,EARL LA FERME JOSSERAND GILBERT,1,MANTENAY-MONTLIN,01560,1,1
01.231.002,LABORATOIRES PYC,1,MANZIAT,01570,1,1
01.236.055,MAZUIR ALEXANDRE,1,MARSONNAS,01340,1,1
01.241.002,LES SALAISONS DE MEILLONNAS,1,MEILLONNAS,01370,1,1
01.241.003,LES SALAISONS DE MEILLONNAS,1,MEILLONNAS,01370,1,1
01.244.052,MAISON CHABAUD,1,MEXIMIEUX,01800,1,1
01.249.002,SODELY - SALAISONS STEMMELEN STEMMY LA TRADITION AU GOUT DU JOUR STEMMELEN,1,MIRIBEL,01700,1,1
01.254.001,I.D FRAIS,1,MONTAGNAT,01250,1,1
01.263.001,LES FILS DE BENOIT DIENNET / LES FILS DE BENOIT DIENNET - CHARCUTERIE SALAISONS,2,MONTMERLE-SUR-SAONE,01090,1,3
01.266.001,AU CHAPON BRESSAN,1,MONTREVEL-EN-BRESSE,01340,1,3
01.266.002,LES VOLAILLES MIERAL,1,MONTREVEL-EN-BRESSE,01340,1,2
01.269.093,LE GOURMET CATHOLARD,1,NANTUA,01130,1,1
01.275.002,TOKE,1,NEYRON,01700,1,1
