etablissement,nom,commune,departement,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,n_sans_dominante,ecart_sans_dominante,nom_ambigu
fr-53-097-001,SOCOPA VIANDES,EVRON,53,42,4,0,-12.0,0.15,l-etal-du-boucher,66.7,14,3.5,False
fr-43-211-010,SOUCHON D'AUVERGNE,SAINT-MAURICE-DE-LIGNON,43,36,12,0,-7.0,4.6,saint-agaune,41.7,21,-7.0,False
fr-59-597-001,SOCIETE D'INNOVATION CULINAIRE,TILLOY-LEZ-CAMBRAI,59,50,5,0,-7.0,1.4,fleury-michon,84.0,8,,False
fr-19-031-008,SO'HAM SUD-OUEST,BRIVE-LA-GAILLARDE,19,45,8,0,-6.0,1.8,carrefour,64.4,16,-13.0,False
fr-80-799-001,LES SALAISONS DU TERROIR,VILLERS-BRETONNEUX,80,53,8,0,-6.0,1.5,inconnue,77.4,12,-4.5,False
fr-35-238-019,MAITRE JACQUES,RENNES,35,58,3,0,-5.0,1.47,maitre-jacques,60.3,23,-13.0,False
fr-85-182-003,FLEURY MICHON CHARCUTERIE / FLEURY MICHON LS,POUZAUGES,85,255,5,0,-5.0,1.8,fleury-michon,97.6,6,,True
fr-67-218-001,HERTA,ILLKIRCH-GRAFFENSTADEN,67,101,2,0,-4.0,1.8,herta,78.2,22,-7.0,False
fr-87-065-001,COMPAGNIE MADRANGE,FEYTIAT,87,202,30,0,-4.0,1.9,madrange,44.6,112,-4.0,False
fr-33-036-007,ETS CLEMENS SARL,BAZAS,33,34,3,0,-3.0,1.2,inconnue,85.3,5,,False
fr-42-305-004,TRADIVAL,LA TALAUDIERE,42,39,13,0,-3.0,1.88,tradival,28.2,28,-1.5,False
fr-64-024-003,HIRUAK,ANGLET,64,45,2,0,-3.0,1.8,hiruak,84.4,7,,False
fr-71-056-001,LDC BOURGOGNE,BRANGES,71,40,10,0,-3.0,0.4,le-gaulois,40.0,24,-6.0,False
fr-76-159-003,LES TRIPES PAILLARD,CANY-BARVILLE,76,41,15,0,-3.0,1.1,tripes-paillard,31.7,28,-3.0,False
fr-79-195-003,GALLIANCE INDUSTRIE SEVRIENNE,NUEIL-LES-AUBIERS,79,296,12,0,-3.0,0.11,la-nouvelle-agriculture,65.2,103,-3.0,False
fr-85-084-001,ARRIVE,ESSARTS EN BOCAGE,85,81,10,0,-3.0,0.14,maitre-coq,65.4,28,-3.0,False
fr-89-069-001,DUC,CHAILLEY,89,40,11,5,-3.0,0.11,inconnue,32.5,27,-3.0,False
fr-12-052-003,RAYNAL ET ROQUELAURE,CAPDENAC-GARE,12,65,24,0,-2.0,0.79,raynal-et-roquelaure,18.5,53,-2.0,False
fr-15-187-012,UNIPLANEZE,SAINT-FLOUR,15,40,19,0,-2.0,0.95,carrefour,30.0,28,-2.0,False
fr-26-347-022,SAVIEL FRANCE,TAIN-L'HERMITAGE,26,61,8,0,-2.0,1.63,jean-roze,47.5,32,-1.0,False
fr-28-027-005,CHB,LA BAZOCHE-GOUET,28,68,6,0,-2.0,1.7,inconnue,67.6,22,-1.0,False
fr-38-341-005,CHOCOLATERIE LA VANOISE / COOPERL ARC ATLANTIQUE,ROCHETOIRIN,38,43,8,0,-2.0,1.3,madrange,76.7,10,-2.5,True
fr-45-147-004,TRADIVAL,FLEURY-LES-AUBRAIS,45,43,11,0,-2.0,1.7,tradival,25.6,32,-4.0,False
fr-56-140-006,SOCIETE BERNARD,MOREAC,56,73,17,0,-2.0,1.8,carrefour,28.8,52,-1.5,False
fr-77-438-001,WILLIAM SAURIN PRODUCTION,LAGNY-SUR-MARNE,77,35,12,0,-2.0,0.8,william-saurin,51.4,17,0.0,False
fr-79-195-001,GALLIANCE NUEIL,NUEIL-LES-AUBIERS,79,50,17,0,-2.0,1.3,inconnue,30.0,35,-2.0,False
fr-79-246-002,COOPERL ARC ATLANTIQUE,SAINTE-EANNE,79,41,10,0,-2.0,1.3,madrange,78.0,9,,False
fr-11-076-006,CONSERVERIE DU LANGUEDOC - LA BELLE CHAURIENNE,CASTELNAUDARY,11,55,13,0,-1.5,0.9,la-belle-chaurienne,40.0,33,-2.0,False
fr-11-076-009,SOCIETE RIVIERE,CASTELNAUDARY,11,72,11,0,-1.0,0.77,maison-riviere,73.6,19,-0.5,False
fr-12-202-001,SOULIE RESTAURATION,RODEZ,12,65,20,1,-1.0,0.9,william-saurin,44.6,36,-1.0,False
fr-14-630-043,SAS FRIAL,SAINT-MARTIN-DES-ENTREES,14,65,12,0,-1.0,0.62,picard,46.2,35,0.0,False
fr-14-752-010,ELIVIA,VILLERS-BOCAGE,14,224,17,6,-1.0,0.96,tendre-plus,63.8,81,1.0,False
fr-22-007-001,BINIC GASTRONOMIE,BINIC-ETABLES-SUR-MER,22,70,18,0,-1.0,1.5,mere-lalie,48.6,36,-0.5,False
fr-22-046-001,KERMENE,LE MENE,22,241,19,1,-1.0,1.8,marque-repere,54.4,110,-1.0,False
fr-22-182-001,CELTIGEL,PLELO,22,44,17,0,-1.0,0.7,carrefour,22.7,34,0.0,False
fr-29-097-020,COMPAGNIE LAMPAULAISE DE SALAISON,LAMPAUL-GUIMILIAU,29,113,31,0,-1.0,1.9,carrefour,15.9,95,-1.0,False
fr-29-188-020,PRIMEL GASTRONOMIE,PLOUGASNOU,29,59,18,0,-1.0,0.61,picard,30.5,41,-1.0,False
fr-29-233-001,GROUPE BIGARD,QUIMPERLE,29,107,14,0,-1.0,0.91,bigard,48.6,55,-1.0,False
fr-29-247-022,S.C.O.,SAINT-EVARZEC,29,270,37,1,-1.0,1.91,monique-ranou,24.8,203,0.0,False
fr-35-139-001,SVELTIC - WHAT'S COOKING RENNES,LAILLE,35,44,14,0,-1.0,0.73,monique-ranou,20.5,35,0.0,False
fr-35-196-001,BRIENT,MORDELLES,35,115,18,0,-1.0,1.7,inconnue,37.4,72,-1.0,False
fr-35-297-003,ONNO BRETAGNE / SALAISONS CELTIQUES - ONNO BRETAGNE,SAINT-MEEN-LE-GRAND,35,74,10,0,-1.0,2.0,inconnue,36.5,47,-1.0,True
fr-44-131-008,SOCIETE COLLET,PORNIC,44,30,20,0,-1.0,0.78,l-atelier-collet,13.3,26,-1.0,False
fr-44-190-005,COVI,SAINT-SEBASTIEN-SUR-LOIRE,44,76,30,2,-1.0,0.89,paul-louise,21.1,60,-1.0,False
fr-49-323-032,ELIVIA,VERRIERES-EN-ANJOU,49,62,17,0,-1.0,0.22,auchan,17.7,51,0.0,False
fr-57-463-001,CHARAL,METZ,57,37,4,0,-1.0,0.2,charal,91.9,3,,False
fr-67-144-001,MORITZ SA SOC EXPLOIT - LES CHARCUTIERS DU BAN DE ROCHE,PLAINE,67,31,4,0,-1.0,1.7,moritz,54.8,14,-1.0,False
fr-72-039-003,RUEL BRUNO / RUEL BRUNO - CHARCUTERIE RUEL-BOULVERT,BONNETABLE,72,45,1,0,-1.0,1.8,charcuterie-ruel,100.0,0,,True
fr-72-264-003,MARIE,SABLE-SUR-SARTHE,72,53,10,0,-1.0,0.67,marie,62.3,20,-1.0,False
fr-80-318-001,GROUPE BIGARD,FLIXECOURT,80,39,16,0,-1.0,0.22,bigard,17.9,32,-1.5,False
fr-80-798-003,LE DOMAINE PICARD,VILLERS-BOCAGE,80,110,5,0,-1.0,2.0,domaine-picard,50.9,54,-1.0,False
fr-84-007-020,AGIS,AVIGNON,84,103,27,0,-1.0,0.72,carrefour,20.4,82,-1.0,False
fr-84-029-001,RAYNAL ET ROQUELAURE PROVENCE,CAMARET-SUR-AIGUES,84,77,19,4,-1.0,0.81,zapetti,44.2,43,0.0,False
fr-87-187-003,LAREDY,SAINT-YRIEIX-LA-PERCHE,87,32,13,0,-1.0,1.64,comte-de-la-seynie,34.4,21,-1.0,False
fr-95-018-022,non apparie au registre,,95,56,2,0,-1.0,1.9,inconnue,85.7,8,,False
fr-95-280-001,non apparie au registre,,95,73,15,0,-1.0,1.8,madrange,31.5,50,-4.0,False
fr-47-252-001,RAYNAL ET ROQUELAURE,SAINTE-LIVRADE-SUR-LOT,47,38,12,4,-0.5,0.81,marque-repere,21.1,30,-1.0,False
fr-56-094-013,CHARCUTERIE DU BLAVET,KERVIGNAC,56,34,2,0,-0.5,1.8,inconnue,79.4,7,,False
fr-01-053-015,SOCIETE NOUVELLE UTP,BOURG-EN-BRESSE,1,35,11,0,0.0,2.1,inconnue,40.0,21,1.0,False
