etablissement,nom,commune,departement,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,n_sans_dominante,ecart_sans_dominante,nom_ambigu
fr-29-046-500,non apparie au registre,,29,14,6,0,-16.5,1.0,connetable,28.6,10,-16.5,False
fr-29-046-514,non apparie au registre,,29,20,9,0,-16.0,1.0,petit-navire,40.0,12,-16.0,False
fr-56-186-004,non apparie au registre,,56,11,1,0,-15.0,1.0,la-belle-iloise,100.0,0,,False
fr-84-080-002,LOUIS MARTIN PRODUCTION,MONTEUX,84,21,12,0,-15.0,0.88,carrefour,14.3,18,-14.0,False
fr-14-738-042,CAP OCEAN,VERSON,14,13,6,0,-14.0,1.15,cap-ocean,38.5,8,,False
fr-14-762-106,ALLIANCE DES VIANDES DE FRANCE,VIRE NORMANDIE,14,14,5,0,-13.0,0.15,l-etal-du-boucher,64.3,5,,False
fr-84-029-002,"CONSERVERIES PROVENCALES "" CABANON""",CAMARET-SUR-AIGUES,84,21,7,0,-12.0,1.0,carrefour,47.6,11,-11.0,False
fr-53-097-001,SOCOPA VIANDES,EVRON,53,42,4,0,-12.0,0.15,l-etal-du-boucher,66.7,14,3.5,False
fr-65-452-001,CHARCUTERIE ADER,TRIE-SUR-BAISE,65,15,3,0,-9.0,0.33,inconnue,73.3,4,,False
fr-21-231-005,LES SALAISONS DIJON.A.SABATIER,DIJON,21,19,10,0,-8.0,1.5,antoine-sabatier,26.3,14,-8.0,False
fr-43-211-010,SOUCHON D'AUVERGNE,SAINT-MAURICE-DE-LIGNON,43,36,12,0,-7.0,4.6,saint-agaune,41.7,21,-7.0,False
fr-29-039-512,non apparie au registre,,29,15,4,0,-7.0,1.0,les-mouettes-d-arvor,66.7,5,,False
fr-22-182-005,LES DELICES DE LA MER,PLELO,22,11,7,1,-7.0,1.0,inconnue,36.4,7,,False
fr-43-268-017,ETABLISSEMENTS MANET FRERES - MARCEL DELABRE - MA TRE CHARCUTIER,YSSINGEAUX,43,10,3,0,-7.0,3.0,inconnue,50.0,5,,False
fr-59-597-001,SOCIETE D'INNOVATION CULINAIRE,TILLOY-LEZ-CAMBRAI,59,50,5,0,-7.0,1.4,fleury-michon,84.0,8,,False
fr-67-127-001,BRUNO SIEBERT,ERGERSHEIM,67,22,7,0,-6.5,0.1,inconnue,40.9,13,-6.0,False
fr-80-799-001,LES SALAISONS DU TERROIR,VILLERS-BRETONNEUX,80,53,8,0,-6.0,1.5,inconnue,77.4,12,-4.5,False
fr-56-069-005,GROIX ET NATURE,GROIX,56,19,7,0,-6.0,0.9,groix-nature,63.2,7,,False
fr-19-031-008,SO'HAM SUD-OUEST,BRIVE-LA-GAILLARDE,19,45,8,0,-6.0,1.8,carrefour,64.4,16,-13.0,False
fr-21-464-002,AU JAMBON DE BOURGOGNE,NUITS-SAINT-GEORGES,21,10,5,0,-6.0,1.51,inconnue,50.0,5,,False
fr-02-514-001,BABYNOV,MONTIGNY-LENGRAIN,2,10,5,0,-5.5,0.07,carrefour,60.0,4,,False
fr-10-362-003,SAVIEL FRANCE,SAINTE-SAVINE,10,13,4,0,-5.0,0.4,jean-roze,53.8,6,,False
fr-85-182-003,FLEURY MICHON CHARCUTERIE / FLEURY MICHON LS,POUZAUGES,85,255,5,0,-5.0,1.8,fleury-michon,97.6,6,,True
fr-35-238-019,MAITRE JACQUES,RENNES,35,58,3,0,-5.0,1.47,maitre-jacques,60.3,23,-13.0,False
fr-21-295-001,SOCIETE ROUX ET COMPAGNIE,GEVREY-CHAMBERTIN,21,11,5,0,-4.0,2.0,ets-roux,45.5,6,,False
fr-67-218-001,HERTA,ILLKIRCH-GRAFFENSTADEN,67,101,2,0,-4.0,1.8,herta,78.2,22,-7.0,False
fr-05-092-001,EURL ROSTAIN / ROSTAIN,NEFFES,5,20,4,0,-4.0,1.8,rostain,75.0,5,,True
fr-85-164-001,GASTROMER,NOTRE-DAME-DE-MONTS,85,11,5,0,-4.0,1.2,gastromer,36.4,7,,False
fr-44-079-002,non apparie au registre,,44,19,8,0,-4.0,1.2,conserverie-des-saveurs,36.8,12,-4.0,False
fr-69-028-001,LES SAVEURS LYONNAISES,BRINDAS,69,25,5,0,-4.0,1.48,les-delices-de-lyon,60.0,10,-5.0,False
fr-87-065-001,COMPAGNIE MADRANGE,FEYTIAT,87,202,30,0,-4.0,1.9,madrange,44.6,112,-4.0,False
fr-33-038-007,non apparie au registre,,33,10,1,0,-4.0,1.5,inconnue,100.0,0,,False
fr-33-036-007,ETS CLEMENS SARL,BAZAS,33,34,3,0,-3.0,1.2,inconnue,85.3,5,,False
fr-53-130-001,S N V,LAVAL,53,15,9,3,-3.0,0.12,inconnue,33.3,10,-3.0,False
fr-42-305-004,TRADIVAL,LA TALAUDIERE,42,39,13,0,-3.0,1.88,tradival,28.2,28,-1.5,False
fr-30-233-001,DUC,SAINT-BAUZELY,30,14,4,0,-3.0,0.15,inconnue,42.9,8,,False
fr-71-004-001,FRAIRIE DE BOURGOGNE - LA FRAIRIE DE BOURGOGNE - LA FRAIRIE - EURO DISPAL,ALLERIOT,71,10,8,0,-3.0,1.15,fourchettes-co,30.0,7,,False
fr-44-003-002,GASTRONOME ANCENIS,ANCENIS,44,12,7,0,-3.0,0.11,u,33.3,8,,False
fr-53-048-002,GALEO / S N V,CHAILLAND,53,10,4,1,-3.0,0.09,auchan,30.0,7,,True
fr-32-107-030,FERMIERS DU GERS,CONDOM,32,11,4,0,-3.0,0.13,volae,63.6,4,,False
fr-79-195-003,GALLIANCE INDUSTRIE SEVRIENNE,NUEIL-LES-AUBIERS,79,296,12,0,-3.0,0.11,la-nouvelle-agriculture,65.2,103,-3.0,False
fr-76-159-003,LES TRIPES PAILLARD,CANY-BARVILLE,76,41,15,0,-3.0,1.1,tripes-paillard,31.7,28,-3.0,False
fr-64-024-003,HIRUAK,ANGLET,64,45,2,0,-3.0,1.8,hiruak,84.4,7,,False
fr-72-090-011,CHARLES CHRIST,CONNERRE,72,15,7,0,-3.0,0.96,carrefour,26.7,11,-2.0,False
fr-72-168-001,CAVOL / LDC SABLE - CAVOL,LOUE,72,27,4,0,-3.0,0.15,loue,63.0,10,-3.5,True
fr-89-069-001,DUC,CHAILLEY,89,40,11,5,-3.0,0.11,inconnue,32.5,27,-3.0,False
fr-80-751-001,LES CANARDS DU VAL DE LUCE,THENNES,80,10,4,0,-3.0,1.35,inconnue,70.0,3,,False
fr-14-762-026,AMAND,VIRE-NORMANDIE,14,20,8,0,-3.0,1.7,inconnue,60.0,8,,False
fr-85-084-001,ARRIVE,ESSARTS EN BOCAGE,85,81,10,0,-3.0,0.14,maitre-coq,65.4,28,-3.0,False
fr-03-236-001,ARRIVE AUVERGNE,SAINT-GERMAIN-DES-FOSSES,3,25,6,0,-3.0,0.13,inconnue,24.0,19,-3.0,False
fr-71-056-001,LDC BOURGOGNE,BRANGES,71,40,10,0,-3.0,0.4,le-gaulois,40.0,24,-6.0,False
fr-31-091-010,SOVIVO,BRUGUIERES,31,11,4,0,-2.5,0.73,inconnue,36.4,7,,False
fr-15-187-012,UNIPLANEZE,SAINT-FLOUR,15,40,19,0,-2.0,0.95,carrefour,30.0,28,-2.0,False
fr-26-347-022,SAVIEL FRANCE,TAIN-L'HERMITAGE,26,61,8,0,-2.0,1.63,jean-roze,47.5,32,-1.0,False
fr-28-027-005,CHB,LA BAZOCHE-GOUET,28,68,6,0,-2.0,1.7,inconnue,67.6,22,-1.0,False
fr-56-140-006,SOCIETE BERNARD,MOREAC,56,73,17,0,-2.0,1.8,carrefour,28.8,52,-1.5,False
fr-79-195-001,GALLIANCE NUEIL,NUEIL-LES-AUBIERS,79,50,17,0,-2.0,1.3,inconnue,30.0,35,-2.0,False
fr-77-438-001,WILLIAM SAURIN PRODUCTION,LAGNY-SUR-MARNE,77,35,12,0,-2.0,0.8,william-saurin,51.4,17,0.0,False
fr-79-246-002,COOPERL ARC ATLANTIQUE,SAINTE-EANNE,79,41,10,0,-2.0,1.3,madrange,78.0,9,,False
fr-01-224-001,SIBERT LA BRESSE,LOYETTES,1,28,6,0,-2.0,1.2,le-pere-benoit,39.3,17,-2.0,False
fr-87-085-006,CENTRE VIANDE FRANCIS PLAINEMAISON / PLAINEMAISON AQUITAINE,LIMOGES,87,13,6,0,-2.0,0.15,monoprix,46.2,7,,True
fr-19-031-003,BLEDINA,BRIVE-LA-GAILLARDE,19,13,5,0,-2.0,0.36,bledina,61.5,5,,False
fr-16-015-015,SODIPORC,ANGOULEME,16,10,2,0,-2.0,1.6,inconnue,50.0,5,,False
fr-72-264-005,CHARAL,SABLE-SUR-SARTHE,72,11,1,1,-2.0,0.17,charal,100.0,0,,False
fr-07-259-002,GUEZE ETS - CHAZEL,SAINT-JUST-D'ARDECHE,7,14,4,0,-2.0,5.8,inconnue,35.7,9,,False
fr-84-007-006,ETABLISSEMENTS R.FILLIERE,AVIGNON,84,12,1,0,-2.0,2.15,inconnue,100.0,0,,False
fr-12-052-003,RAYNAL ET ROQUELAURE,CAPDENAC-GARE,12,65,24,0,-2.0,0.79,raynal-et-roquelaure,18.5,53,-2.0,False
fr-43-177-003,ETABLISSEMENTS MASSARDIER,SAINT-DIDIER-EN-VELAY,43,27,3,0,-2.0,2.0,inconnue,88.9,3,,False
fr-38-341-005,CHOCOLATERIE LA VANOISE / COOPERL ARC ATLANTIQUE,ROCHETOIRIN,38,43,8,0,-2.0,1.3,madrange,76.7,10,-2.5,True
fr-38-449-003,POPY,SAINT-QUENTIN-FALLAVIER,38,22,4,0,-2.0,2.0,inconnue,50.0,11,-2.0,False
fr-45-147-004,TRADIVAL,FLEURY-LES-AUBRAIS,45,43,11,0,-2.0,1.7,tradival,25.6,32,-4.0,False
fr-01-405-004,SIBERT LA BRESSE,SERVAS,1,25,3,0,-2.0,1.5,inconnue,60.0,10,-1.0,False
