gamme,critere,n_halal,n_temoin,pct_halal,pct_temoin,ecart_points
autres_carnes / dinde,Nutri-Score A ou mieux,78,520,10.3,59.4,49.1
autres_carnes / dinde,Nutri-Score B ou mieux,78,520,14.1,68.3,54.2
autres_carnes / dinde,Nutri-Score C ou mieux,78,520,19.2,81.5,62.3
autres_carnes / dinde,sel <= 1.5 g,78,520,20.5,76.7,56.2
autres_carnes / dinde,sel <= 2.0 g,78,520,33.3,92.3,59.0
autres_carnes / dinde,sel <= 2.5 g,78,520,56.4,96.9,40.5
autres_carnes / dinde,sel <= 3.0 g,78,520,66.7,97.3,30.6
autres_carnes / indetermine,Nutri-Score A ou mieux,67,4084,10.4,8.6,-1.8
autres_carnes / indetermine,Nutri-Score B ou mieux,67,4084,16.4,14.2,-2.2
autres_carnes / indetermine,Nutri-Score C ou mieux,67,4084,28.4,26.8,-1.6
autres_carnes / indetermine,sel <= 1.5 g,67,4084,43.3,53.3,10.0
autres_carnes / indetermine,sel <= 2.0 g,67,4084,56.7,73.1,16.4
autres_carnes / indetermine,sel <= 2.5 g,67,4084,70.1,81.9,11.8
autres_carnes / indetermine,sel <= 3.0 g,67,4084,83.6,85.8,2.2
autres_carnes / poulet,Nutri-Score A ou mieux,164,1806,15.2,50.3,35.1
autres_carnes / poulet,Nutri-Score B ou mieux,164,1806,25.6,59.6,34.0
autres_carnes / poulet,Nutri-Score C ou mieux,164,1806,44.5,73.9,29.4
autres_carnes / poulet,sel <= 1.5 g,164,1806,43.9,85.8,41.9
autres_carnes / poulet,sel <= 2.0 g,164,1806,68.9,96.6,27.7
autres_carnes / poulet,sel <= 2.5 g,164,1806,86.6,98.2,11.6
autres_carnes / poulet,sel <= 3.0 g,164,1806,90.9,98.7,7.8
charcuterie_cuite / dinde,Nutri-Score A ou mieux,113,195,1.8,11.3,9.5
charcuterie_cuite / dinde,Nutri-Score B ou mieux,113,195,7.1,50.3,43.2
charcuterie_cuite / dinde,Nutri-Score C ou mieux,113,195,17.7,81.5,63.8
charcuterie_cuite / dinde,sel <= 1.5 g,113,195,2.7,17.9,15.2
charcuterie_cuite / dinde,sel <= 2.0 g,113,195,19.5,83.1,63.6
charcuterie_cuite / dinde,sel <= 2.5 g,113,195,42.5,91.8,49.3
charcuterie_cuite / dinde,sel <= 3.0 g,113,195,74.3,96.4,22.1
charcuterie_cuite / indetermine,Nutri-Score A ou mieux,35,9003,0.0,1.6,1.6
charcuterie_cuite / indetermine,Nutri-Score B ou mieux,35,9003,2.9,6.3,3.4
charcuterie_cuite / indetermine,Nutri-Score C ou mieux,35,9003,2.9,20.7,17.8
charcuterie_cuite / indetermine,sel <= 1.5 g,35,9003,5.7,13.2,7.5
charcuterie_cuite / indetermine,sel <= 2.0 g,35,9003,40.0,59.6,19.6
charcuterie_cuite / indetermine,sel <= 2.5 g,35,9003,71.4,70.8,-0.6
charcuterie_cuite / indetermine,sel <= 3.0 g,35,9003,82.9,72.8,-10.1
charcuterie_cuite / poulet,Nutri-Score A ou mieux,151,720,4.0,15.7,11.7
charcuterie_cuite / poulet,Nutri-Score B ou mieux,151,720,27.2,60.1,32.9
charcuterie_cuite / poulet,Nutri-Score C ou mieux,151,720,34.4,82.4,48.0
charcuterie_cuite / poulet,sel <= 1.5 g,151,720,5.3,26.7,21.4
charcuterie_cuite / poulet,sel <= 2.0 g,151,720,40.4,85.8,45.4
charcuterie_cuite / poulet,sel <= 2.5 g,151,720,73.5,96.9,23.4
charcuterie_cuite / poulet,sel <= 3.0 g,151,720,78.8,98.2,19.4
charcuterie_cuite / volaille_autre,Nutri-Score A ou mieux,40,121,2.5,3.3,0.8
charcuterie_cuite / volaille_autre,Nutri-Score B ou mieux,40,121,7.5,7.4,-0.1
charcuterie_cuite / volaille_autre,Nutri-Score C ou mieux,40,121,15.0,16.5,1.5
charcuterie_cuite / volaille_autre,sel <= 1.5 g,40,121,0.0,24.8,24.8
charcuterie_cuite / volaille_autre,sel <= 2.0 g,40,121,20.0,65.3,45.3
charcuterie_cuite / volaille_autre,sel <= 2.5 g,40,121,45.0,81.8,36.8
charcuterie_cuite / volaille_autre,sel <= 3.0 g,40,121,65.0,92.6,27.6
charcuterie_seche / indetermine,Nutri-Score A ou mieux,142,4481,0.0,0.1,0.1
charcuterie_seche / indetermine,Nutri-Score B ou mieux,142,4481,0.7,0.2,-0.5
charcuterie_seche / indetermine,Nutri-Score C ou mieux,142,4481,1.4,0.6,-0.8
charcuterie_seche / indetermine,sel <= 1.5 g,142,4481,1.4,3.0,1.6
charcuterie_seche / indetermine,sel <= 2.0 g,142,4481,8.5,10.8,2.3
charcuterie_seche / indetermine,sel <= 2.5 g,142,4481,29.6,18.5,-11.1
charcuterie_seche / indetermine,sel <= 3.0 g,142,4481,45.1,23.5,-21.6
decoupes / poulet,Nutri-Score A ou mieux,70,4840,75.7,70.6,-5.1
decoupes / poulet,Nutri-Score B ou mieux,70,4840,84.3,89.2,4.9
decoupes / poulet,Nutri-Score C ou mieux,70,4840,92.9,96.4,3.5
decoupes / poulet,sel <= 1.5 g,70,4840,87.1,97.0,9.9
decoupes / poulet,sel <= 2.0 g,70,4840,97.1,99.5,2.4
decoupes / poulet,sel <= 2.5 g,70,4840,98.6,99.7,1.1
decoupes / poulet,sel <= 3.0 g,70,4840,98.6,99.8,1.2
panes / dinde,Nutri-Score A ou mieux,69,629,8.7,64.7,56.0
panes / dinde,Nutri-Score B ou mieux,69,629,13.0,68.7,55.7
panes / dinde,Nutri-Score C ou mieux,69,629,49.3,80.6,31.3
panes / dinde,sel <= 1.5 g,69,629,88.4,94.6,6.2
panes / dinde,sel <= 2.0 g,69,629,98.6,99.2,0.6
panes / dinde,sel <= 2.5 g,69,629,100.0,99.5,-0.5
panes / dinde,sel <= 3.0 g,69,629,100.0,99.7,-0.3
panes / indetermine,Nutri-Score A ou mieux,31,303,6.5,11.9,5.4
panes / indetermine,Nutri-Score B ou mieux,31,303,6.5,20.1,13.6
panes / indetermine,Nutri-Score C ou mieux,31,303,32.3,47.5,15.2
panes / indetermine,sel <= 1.5 g,31,303,61.3,81.5,20.2
panes / indetermine,sel <= 2.0 g,31,303,96.8,94.7,-2.1
panes / indetermine,sel <= 2.5 g,31,303,96.8,98.0,1.2
panes / indetermine,sel <= 3.0 g,31,303,96.8,98.3,1.5
panes / poulet,Nutri-Score A ou mieux,167,941,9.0,12.6,3.6
panes / poulet,Nutri-Score B ou mieux,167,941,29.3,35.8,6.5
panes / poulet,Nutri-Score C ou mieux,167,941,62.3,75.8,13.5
panes / poulet,sel <= 1.5 g,167,941,75.4,90.1,14.7
panes / poulet,sel <= 2.0 g,167,941,94.0,97.0,3.0
panes / poulet,sel <= 2.5 g,167,941,99.4,98.2,-1.2
panes / poulet,sel <= 3.0 g,167,941,99.4,98.4,-1.0
plats_cuisines / boeuf,Nutri-Score A ou mieux,39,2297,15.4,10.8,-4.6
plats_cuisines / boeuf,Nutri-Score B ou mieux,39,2297,20.5,27.8,7.3
plats_cuisines / boeuf,Nutri-Score C ou mieux,39,2297,76.9,86.2,9.3
plats_cuisines / boeuf,sel <= 1.5 g,39,2297,87.2,94.0,6.8
plats_cuisines / boeuf,sel <= 2.0 g,39,2297,89.7,97.3,7.6
plats_cuisines / boeuf,sel <= 2.5 g,39,2297,94.9,98.3,3.4
plats_cuisines / boeuf,sel <= 3.0 g,39,2297,94.9,98.8,3.9
plats_cuisines / poulet,Nutri-Score A ou mieux,66,2988,15.2,14.5,-0.7
plats_cuisines / poulet,Nutri-Score B ou mieux,66,2988,28.8,41.9,13.1
plats_cuisines / poulet,Nutri-Score C ou mieux,66,2988,74.2,88.3,14.1
plats_cuisines / poulet,sel <= 1.5 g,66,2988,81.8,92.6,10.8
plats_cuisines / poulet,sel <= 2.0 g,66,2988,97.0,97.0,0.0
plats_cuisines / poulet,sel <= 2.5 g,66,2988,98.5,98.1,-0.4
plats_cuisines / poulet,sel <= 3.0 g,66,2988,100.0,98.7,-1.3
preparations_marinees / poulet,Nutri-Score A ou mieux,94,1374,9.6,41.3,31.7
preparations_marinees / poulet,Nutri-Score B ou mieux,94,1374,26.6,57.9,31.3
preparations_marinees / poulet,Nutri-Score C ou mieux,94,1374,45.7,72.5,26.8
preparations_marinees / poulet,sel <= 1.5 g,94,1374,46.8,84.6,37.8
preparations_marinees / poulet,sel <= 2.0 g,94,1374,80.9,96.5,15.6
preparations_marinees / poulet,sel <= 2.5 g,94,1374,94.7,98.9,4.2
preparations_marinees / poulet,sel <= 3.0 g,94,1374,96.8,99.2,2.4
saucisses / indetermine,Nutri-Score A ou mieux,77,4445,1.3,0.4,-0.9
saucisses / indetermine,Nutri-Score B ou mieux,77,4445,2.6,0.8,-1.8
saucisses / indetermine,Nutri-Score C ou mieux,77,4445,3.9,3.3,-0.6
saucisses / indetermine,sel <= 1.5 g,77,4445,3.9,12.5,8.6
saucisses / indetermine,sel <= 2.0 g,77,4445,33.8,61.1,27.3
saucisses / indetermine,sel <= 2.5 g,77,4445,61.0,85.3,24.3
saucisses / indetermine,sel <= 3.0 g,77,4445,88.3,91.3,3.0
saucisses / poulet,Nutri-Score A ou mieux,51,141,0.0,1.4,1.4
saucisses / poulet,Nutri-Score B ou mieux,51,141,2.0,7.1,5.1
saucisses / poulet,Nutri-Score C ou mieux,51,141,5.9,15.6,9.7
saucisses / poulet,sel <= 1.5 g,51,141,5.9,19.9,14.0
saucisses / poulet,sel <= 2.0 g,51,141,23.5,75.9,52.4
saucisses / poulet,sel <= 2.5 g,51,141,66.7,94.3,27.6
saucisses / poulet,sel <= 3.0 g,51,141,92.2,97.9,5.7
saucisses / volaille_autre,Nutri-Score A ou mieux,72,329,0.0,5.2,5.2
saucisses / volaille_autre,Nutri-Score B ou mieux,72,329,1.4,15.2,13.8
saucisses / volaille_autre,Nutri-Score C ou mieux,72,329,2.8,45.6,42.8
saucisses / volaille_autre,sel <= 1.5 g,72,329,6.9,23.7,16.8
saucisses / volaille_autre,sel <= 2.0 g,72,329,51.4,91.5,40.1
saucisses / volaille_autre,sel <= 2.5 g,72,329,79.2,97.9,18.7
saucisses / volaille_autre,sel <= 3.0 g,72,329,97.2,99.4,2.2
viande_hachee / boeuf,Nutri-Score A ou mieux,100,932,4.0,7.9,3.9
viande_hachee / boeuf,Nutri-Score B ou mieux,100,932,6.0,21.4,15.4
viande_hachee / boeuf,Nutri-Score C ou mieux,100,932,48.0,71.9,23.9
viande_hachee / boeuf,sel <= 1.5 g,100,932,99.0,97.3,-1.7
viande_hachee / boeuf,sel <= 2.0 g,100,932,100.0,98.5,-1.5
viande_hachee / boeuf,sel <= 2.5 g,100,932,100.0,99.2,-0.8
viande_hachee / boeuf,sel <= 3.0 g,100,932,100.0,99.5,-0.5
