label,n,ecart_median,ic95_bas,ic95_haut,strates,pct_halal,distingue_du_marche
fr:saucisson-a-l-ail,83,-13.0,-13.0,-12.0,2,0.0,oui
en:25-less-salt,386,-7.0,-7.0,-6.0,21,1.8,oui
en:low-or-no-salt,459,-6.0,-7.0,-4.0,31,1.5,oui
en:low-salt,448,-6.0,-7.0,-4.0,28,1.5,oui
en:reduced-salt,430,-6.0,-7.0,-5.0,26,1.6,oui
fr:herta-s-engage,163,-5.0,-5.0,-2.0,8,0.0,oui
en:without,56,-4.5,-6.0,-2.0,16,0.0,oui
fr:bleu-blanc-coeur-volaille,68,-4.0,-5.0,-4.0,7,0.0,oui
fr:bleu-blanc-coeur,1684,-4.0,-4.0,-4.0,36,0.0,oui
fr:produit-certifie,62,-4.0,-4.0,-3.0,8,0.0,oui
en:nutri-score-a-b,85,-4.0,-4.0,-4.0,7,0.0,oui
en:fr-bio-12,42,-4.0,-5.0,-0.5,15,0.0,oui
fr:nouvelle-agriculture,463,-4.0,-4.0,-4.0,15,0.0,oui
en:fed-without-gmos,298,-3.5,-4.0,-2.0,20,0.0,oui
en:roundtable-on-sustainable-palm-oil,226,-3.0,-4.0,-2.0,23,0.0,oui
en:nutriscore-grade-a,2469,-3.0,-3.0,-2.0,42,0.5,oui
en:sustainable-palm-oil,232,-3.0,-4.0,-2.0,24,0.0,oui
en:it-bio-009,38,-3.0,-6.5,-0.5,10,0.0,oui
en:sustainable,261,-3.0,-4.0,-2.0,27,0.0,oui
en:rspo-mass-balance,212,-3.0,-4.0,-3.0,19,0.0,oui
en:no-antibiotics,182,-2.5,-4.0,-2.0,19,0.5,oui
fr:viande-de-veau-francais,87,-2.5,-5.5,-1.0,10,0.0,oui
es:natural,32,-2.0,-4.5,-1.0,9,3.0,oui
fr:afdiag,37,-2.0,-3.0,-1.0,8,0.0,oui
de:ohne-gentechnik,34,-2.0,-4.0,0.0,14,2.9,non
en:fair-trade,174,-2.0,-2.0,-1.0,22,0.0,oui
en:certified-by-ecocert,34,-2.0,-5.0,0.0,16,0.0,non
en:porks-raised-without-antibiotics,82,-2.0,-3.5,-1.5,11,0.0,oui
en:no-gmos,114,-2.0,-4.0,-1.0,30,0.9,oui
en:without-antibiotics-after-weaning,87,-2.0,-3.0,-1.0,11,0.0,oui
en:porks-raised-without-antibiotics-after-weaning,63,-2.0,-3.0,-1.0,11,0.0,oui
de:eg-öko-verordnung,30,-2.0,-3.0,2.0,11,0.0,non
fr:bleu-blanc-coeur-porc,94,-2.0,-5.0,-1.0,10,0.0,oui
fr:label-rouge,1472,-2.0,-2.0,-1.0,37,0.0,oui
