label,n,ecart_median,ic95_bas,ic95_haut,strates,pct_halal,distingue_du_marche
en:tsg,258,-9.6,-10.0,-9.0,6,0.0,oui
en:pdo,165,-5.4,-6.0,-5.0,21,0.0,oui
en:made-in-spain,238,-4.7,-8.0,-1.7,14,2.9,oui
en:30-less-fat,34,-3.7,-3.7,-2.85,7,0.0,oui
en:reduced-fat,65,-3.7,-3.7,-0.7,15,0.0,oui
en:rspo-mass-balance,212,-2.15,-3.0,-1.0,19,0.0,oui
en:made-in-italy,344,-2.0,-3.0,-0.785,22,0.3,oui
fr:bleu-blanc-coeur-viande,44,-2.0,-2.0,-1.0,5,0.0,oui
en:pgi,1393,-2.0,-2.0,-1.7,25,0.1,oui
en:packaged-in-france,75,-2.0,-2.2,-2.0,14,0.0,oui
fr:concours-general-agricole,87,-2.0,-2.0,-1.0,14,0.0,oui
fr:medaille-de-bronze-du-concours-general-agricole,40,-2.0,-2.0,-1.55,6,0.0,oui
en:roundtable-on-sustainable-palm-oil,227,-1.906,-2.2,-0.0,23,0.0,non
fr:viande-de-veau-francais,89,-1.8,-1.8,-0.6,10,0.0,oui
fr:artisan,37,-1.7,-2.0,-1.7,13,0.0,oui
en:sustainable-palm-oil,233,-1.5,-2.2,-0.0,24,0.0,non
fr:sud-de-france,61,-1.4,-1.4,-1.0,18,0.0,oui
en:artisanal-production,122,-1.385,-2.0,-0.45,20,0.0,oui
fr:maitre-artisan,40,-1.15,-2.0,-0.45,15,0.0,oui
en:nutri-score-a-b,85,-1.0,-1.0,-0.0,7,0.0,non
fr:avec-nos-paysan-ne-s-associe-e-s,46,-1.0,-1.2,-0.5,14,0.0,oui
en:sustainable,262,-1.0,-2.0,-0.0,27,0.0,non
en:produced-in-brittany,654,-1.0,-1.0,-1.0,31,0.0,oui
en:fair-trade,177,-1.0,-1.0,-0.0,22,0.0,non
en:french-agriculture,52,-1.0,-1.0,-0.0,13,1.9,non
en:without-sodium-nitrite,253,-1.0,-1.0,-0.0,23,2.0,non
fr:bleu-blanc-coeur-volaille,68,-1.0,-3.0,-0.0,7,0.0,non
fr:bio-equitable-en-france,94,-1.0,-1.6,-1.0,19,0.0,oui
en:with-guerande-salt,40,-1.0,-2.0,1.0,15,0.0,non
en:free-range,60,-1.0,-1.95,-0.4,20,0.0,oui
en:certified-by-certipaq,190,-1.0,-1.0,-1.0,18,0.0,oui
en:fr-bio-13,45,-1.0,-2.0,-1.0,8,0.0,oui
fr:origine-france,284,-1.0,-1.4,-1.0,42,1.1,oui
fr:label-rouge,1475,-1.0,-1.0,-1.0,37,0.0,oui
fr:produit-certifie,62,-1.0,-1.0,-0.4,8,0.0,oui
fr:race-charolaise,61,-1.0,-1.4,-0.0,8,1.6,non
en:without,56,-1.0,-3.8,1.9,16,0.0,non
fr:recycle-plastique,98,-1.0,-2.4,-1.0,13,0.0,oui
fr:bleu-blanc-coeur-porc,94,-0.8,-1.0,-0.0,10,0.0,non
en:pasteurized,32,-0.586,-1.05,0.4,7,9.4,non
fr:agri-ethique-france,33,-0.5,-1.0,1.0,10,0.0,non
fr:ab-agriculture-biologique,2236,-0.4,-0.9,-0.0,52,0.0,non
en:transformed-in-france,534,-0.4,-1.0,-0.0,38,0.2,non
en:25-less-salt,387,-0.4,-1.0,-0.0,21,1.8,non
fr:100-filet,61,-0.4,-1.4,-0.0,9,11.5,non
en:eu-organic,2839,-0.371,-0.7,-0.0,53,0.1,non
en:incorrect-nutrition-facts-on-label,36,-0.35,-4.1,1.0,17,13.9,non
en:organic,3295,-0.35,-0.7,-0.0,53,0.1,non
en:100-natural,34,-0.15,-1.2,2.564,12,0.0,non
en:fr-bio-01,972,-0.125,-0.7,-0.0,44,0.1,non
en:100-muscle,473,-0.1,-1.0,-0.0,7,4.7,non
en:incorrect-data-on-label,38,-0.05,-3.1,1.0,18,13.2,non
en:french-beef,2809,-0.0,-0.0,-0.0,24,1.7,non
en:french-meat,18737,-0.0,-0.0,-0.0,58,1.3,non
en:french-pork,9002,-0.0,-0.1,-0.0,39,0.0,non
en:fr-bio-12,42,-0.0,-1.0,0.15,15,0.0,non
en:fr-bio-10,281,-0.0,-1.0,-0.0,31,0.0,non
en:fr-bio-09,153,-0.0,-1.0,-0.0,29,0.0,non
en:fed-without-gmos,299,-0.0,-0.0,-0.0,20,0.0,non
en:no-antibiotics,183,-0.0,-0.0,-0.0,19,0.5,non
en:made-in-belgium,153,-0.0,-0.4,1.0,23,0.0,non
en:made-in-france,4344,-0.0,-0.0,-0.0,58,2.4,non
en:no-colorings,3993,-0.0,-0.0,0.129,52,1.1,non
en:made-in-swiss,90,-0.0,-1.0,0.962,21,0.0,non
en:porks-raised-without-antibiotics-after-weaning,63,-0.0,-0.0,1.0,11,0.0,non
en:nutriscore-grade-a,2478,-0.0,-0.0,-0.0,42,0.5,non
en:non-eu-agriculture,501,-0.0,-0.0,0.8,39,0.0,non
en:without-antibiotics-after-weaning,87,-0.0,-0.0,0.6,11,0.0,non
en:societe-francaise-de-controle-de-viande-halal-grande-mosquee-de-paris,42,-0.0,-0.5,1.0,12,100.0,non
en:saveurs-de-l-annee-france,46,-0.0,-0.786,0.9,23,2.2,non
en:reduced-salt,431,-0.0,-1.0,-0.0,26,1.6,non
en:superior-quality,1724,-0.0,-0.0,-0.0,23,0.5,non
fr:bleu-blanc-coeur,1687,-0.0,-0.177,-0.0,36,0.0,non
en:porks-raised-without-antibiotics,82,-0.0,-0.0,0.6,11,0.0,non
en:nutriscore-grade-d,1085,-0.0,-0.0,-0.0,50,2.5,non
en:nutriscore-grade-c,1678,-0.0,-0.0,0.029,39,2.4,non
en:nutriscore,9713,-0.0,-0.0,-0.0,59,1.2,non
en:no-gluten,3289,-0.0,-0.1,-0.0,54,3.4,non
en:no-preservatives,3799,-0.0,-0.0,-0.0,55,0.5,non
en:no-gmos,114,-0.0,-1.0,-0.0,30,0.9,non
en:green-dot,9192,-0.0,-0.0,-0.0,60,2.5,non
en:german-agricultural-society,38,-0.0,-0.7,1.5,15,0.0,non
en:low-salt,455,-0.0,-0.4,-0.0,28,1.5,non
en:low-or-no-salt,477,-0.0,-0.0,-0.0,31,1.5,non
en:low-or-no-fat,127,-0.0,-1.471,0.442,28,3.9,non
en:low-fat,118,-0.0,-1.471,0.442,25,3.4,non
fr:poulet-francais,132,-0.0,-0.271,0.379,13,1.5,non
en:eu-non-eu-agriculture,499,-0.0,-0.0,0.8,39,0.0,non
en:fsc-mix,99,-0.0,-0.271,0.9,24,2.0,non
