label,n,ecart_median,ic95_bas,ic95_haut,strates,pct_halal,distingue_du_marche
fr:saucisson-a-l-ail,83,-2.3,-2.3,-2.1,2,0.0,oui
fr:bleu-blanc-coeur-volaille,68,-0.824,-0.839,-0.8,7,0.0,oui
en:low-salt,454,-0.5,-0.5,-0.452,28,1.5,oui
en:25-less-salt,386,-0.5,-0.55,-0.5,21,1.8,oui
en:reduced-salt,430,-0.5,-0.5,-0.445,26,1.6,oui
en:without,56,-0.5,-0.669,-0.2,16,0.0,oui
en:low-or-no-salt,476,-0.5,-0.5,-0.457,31,1.5,oui
en:french-duck,188,-0.34,-0.71,-0.215,11,0.0,oui
en:it-bio-009,38,-0.3,-0.562,-0.1,10,0.0,oui
en:100-natural,34,-0.3,-0.35,-0.25,12,0.0,oui
fr:viande-de-veau-francais,89,-0.3,-0.45,-0.1,10,0.0,oui
en:sustainable,262,-0.209,-0.4,-0.1,27,0.0,oui
fr:bleu-blanc-coeur-porc,94,-0.2,-0.31,0.0,10,0.0,non
en:without-sodium-nitrite,253,-0.2,-0.2,-0.1,23,2.0,oui
en:sustainable-palm-oil,233,-0.19,-0.3,-0.09,24,0.0,oui
en:fr-bio-12,42,-0.155,-0.3,0.015,15,0.0,non
fr:afdiag,37,-0.15,-0.3,0.0,8,0.0,non
fr:saveurs-en-or,128,-0.145,-0.17,-0.003,25,0.0,oui
en:fsc-mix,99,-0.14,-0.22,-0.07,24,2.0,oui
en:no-additives,550,-0.13,-0.155,-0.11,41,1.3,oui
en:no-flavors,115,-0.13,-0.225,-0.05,19,0.0,oui
en:roundtable-on-sustainable-palm-oil,227,-0.12,-0.4,-0.09,23,0.0,oui
fr:bio-equitable-en-france,94,-0.117,-0.25,-0.031,19,0.0,oui
fr:entrepreneurs-engages,68,-0.113,-0.2,-0.06,25,2.9,oui
en:no-artificial-colors,81,-0.11,-0.18,-0.019,24,7.3,oui
en:cooked-in-france,330,-0.11,-0.13,-0.09,28,0.0,oui
en:fr-bio-13,44,-0.105,-0.335,0.0,8,0.0,non
en:porks-raised-without-antibiotics,82,-0.1,-0.1,-0.01,11,0.0,oui
en:fsc,168,-0.1,-0.2,-0.09,29,1.2,oui
en:natural-flavors,102,-0.1,-0.19,-0.01,20,2.9,oui
en:no-added-sugar,33,-0.1,-0.26,-0.05,9,0.0,oui
en:nutriscore-grade-b,2050,-0.1,-0.111,-0.1,41,0.8,oui
en:packaged-in-france,75,-0.1,-0.1,-0.04,14,0.0,oui
en:produced-in-brittany,648,-0.1,-0.1,-0.1,31,0.0,oui
en:porks-raised-without-antibiotics-after-weaning,63,-0.1,-0.1,-0.01,11,0.0,oui
fr:bleu-blanc-coeur-viande,44,-0.1,-0.11,-0.1,5,0.0,oui
en:rspo-mass-balance,212,-0.1,-0.495,-0.02,19,0.0,oui
en:superior-quality,1722,-0.1,-0.1,-0.1,23,0.5,oui
es:natural,33,-0.1,-0.1,0.1,9,3.0,non
en:carrefour-quality,97,-0.1,-0.14,-0.04,26,0.0,oui
en:fr-bio-10,279,-0.1,-0.117,-0.04,31,0.0,oui
en:certified-by-ecocert,35,-0.1,-0.236,-0.05,16,0.0,oui
en:crossed-grain-trademark,51,-0.1,-0.21,0.0,13,0.0,non
fr:saveurs-de-l-annee,71,-0.1,-0.2,-0.047,29,1.4,oui
en:no-antibiotics,183,-0.09,-0.1,-0.01,19,0.5,oui
en:free-range,60,-0.09,-0.16,-0.015,20,0.0,oui
fr:bleu-blanc-coeur,1687,-0.09,-0.09,-0.09,36,0.0,oui
en:fed-without-gmos,298,-0.09,-0.09,-0.09,20,0.0,oui
fr:label-rouge,1467,-0.09,-0.1,-0.09,37,0.0,oui
fr:nouvelle-agriculture,465,-0.09,-0.09,-0.09,15,0.0,oui
en:no-gmos,114,-0.09,-0.1,0.0,30,0.9,non
en:saveurs-de-l-annee-france,46,-0.085,-0.16,0.043,23,2.2,non
fr:avec-nos-paysan-ne-s-associe-e-s,46,-0.084,-0.28,0.05,14,0.0,non
en:with-guerande-salt,40,-0.084,-0.355,0.1,15,0.0,non
en:fair-trade,177,-0.083,-0.117,0.0,22,0.0,non
en:no-dyes-or-preservatives,65,-0.08,-0.15,0.0,16,0.0,non
en:nutriscore-grade-a,2477,-0.08,-0.09,-0.07,42,0.5,oui
fr:herta-s-engage,164,-0.07,-0.1,0.0,8,0.0,non
en:non-eu-agriculture,500,-0.07,-0.11,0.0,39,0.0,non
fr:100-filet,61,-0.07,-0.1,0.0,9,11.5,non
en:organic,3278,-0.068,-0.09,-0.03,53,0.1,oui
en:eu-organic,2824,-0.068,-0.095,-0.03,53,0.1,oui
en:eu-non-eu-agriculture,498,-0.06,-0.11,0.0,39,0.0,non
en:no-artificial-flavors,764,-0.06,-0.1,-0.02,44,1.0,oui
fr:produit-certifie,62,-0.06,-0.1,-0.05,8,0.0,oui
en:in-braille,92,-0.059,-0.17,-0.003,23,0.0,oui
en:nutri-score-a-b,85,-0.05,-0.09,-0.05,7,0.0,oui
en:nutriscore,9701,-0.05,-0.05,-0.04,59,1.2,oui
en:source-of-proteins,130,-0.045,-0.1,-0.02,20,0.8,oui
en:fr-bio-01,963,-0.038,-0.068,-0.0,44,0.1,non
fr:ab-agriculture-biologique,2225,-0.038,-0.068,-0.01,52,0.0,oui
en:100-muscle,473,-0.038,-0.04,-0.02,7,4.7,oui
en:certified-by-certipaq,190,-0.035,-0.1,0.0,18,0.0,non
fr:poulet-francais,132,-0.033,-0.1,0.0,13,1.5,non
en:new-recipe,69,-0.03,-0.1,0.0,19,0.0,non
en:eu-agriculture,730,-0.03,-0.1,0.0,42,0.1,non
en:no-colorings,3977,-0.03,-0.05,-0.01,52,1.1,oui
en:pasteurized,32,-0.03,-0.25,0.18,7,9.4,non
