marque_tag,marque_affichee,n_produits,n_tagues,pct_tague
medina-halal,MEDINA HALAL,15,15.0,100.0
hunkar,Hunkar,17,14.0,82.4
dounia-halal,Dounia Halal,14,14.0,100.0
kenza-halal,Kenza halal,14,14.0,100.0
mahdia,Mahdia,14,14.0,100.0
medina,Medina,13,13.0,100.0
dabia,dabia,13,13.0,100.0
kenza,KENZA,11,11.0,100.0
aljadid,Aljadid,12,9.0,75.0
el-benna,El Benna,9,9.0,100.0
yayla,Yayla,14,8.0,57.1
oumaty,Oumaty,12,8.0,66.7
zahra,Zahra,9,8.0,88.9
kamar,Kamar,9,8.0,88.9
l-atelier-de-noor,L' Atelier de Noor,8,8.0,100.0
al-jayid,Al jayid,8,8.0,100.0
esma,Esma,8,7.0,87.5
aladin,Aladin,8,6.0,75.0
shems,Shems,6,6.0,100.0
baktat,Baktat,6,5.0,83.3
efepasa,Efepasa,5,5.0,100.0
