produit,bras,n,mediane,regle_30,ecart_vs_temoin,ic95_bas,ic95_haut,testable
blanc_de_poulet,halal,60,0.58,franchie,0.18,0.1,0.2,True
blanc_de_poulet,kasher,8,0.6,sous 30,,,,
blanc_de_poulet,temoin,4737,0.4,franchie,,,,
cordon_bleu,halal,82,3.35,franchie,0.25,-0.4,0.8,True
cordon_bleu,kasher,1,2.9,sous 30,,,,
cordon_bleu,temoin,534,3.1,franchie,,,,
escalope_panee,halal,96,1.45,franchie,0.85,0.4,1.25,True
escalope_panee,kasher,7,3.0,sous 30,,,,
escalope_panee,temoin,787,0.6,franchie,,,,
jambon_cuit,halal,327,0.9,franchie,-1.9,-2.0,-1.7,True
jambon_cuit,kasher,38,0.4,franchie,-2.4,-2.5,-2.05,True
jambon_cuit,temoin,11092,2.8,franchie,,,,
jambon_sec,halal,3,1.1,sous 30,,,,
jambon_sec,kasher,1,5.3,sous 30,,,,
jambon_sec,temoin,2660,5.2,franchie,,,,
merguez,halal,31,6.18,franchie,-3.72,-5.1,3.1,True
merguez,kasher,1,4.1,sous 30,,,,
merguez,temoin,444,9.9,franchie,,,,
mortadelle,halal,33,5.2,franchie,-3.8,-5.1,-3.3,True
mortadelle,kasher,1,5.0,sous 30,,,,
mortadelle,temoin,263,9.0,franchie,,,,
nugget,halal,85,2.3,franchie,0.3,0.2,0.58,True
nugget,kasher,2,1.65,sous 30,,,,
nugget,temoin,414,2.0,franchie,,,,
saucisse_volaille,halal,129,5.3,franchie,1.8,1.3,2.12,True
saucisse_volaille,kasher,11,5.0,sous 30,1.5,1.0,4.5,False
saucisse_volaille,temoin,484,3.5,franchie,,,,
saucisson_sec,halal,187,11.5,franchie,-0.5,-2.2,1.1,True
saucisson_sec,kasher,13,9.9,sous 30,-2.1,-3.3,-2.1,False
saucisson_sec,temoin,5181,12.0,franchie,,,,
steak_hache,halal,116,8.0,franchie,2.0,1.75,2.55,True
steak_hache,kasher,10,7.4,sous 30,1.4,0.65,2.6,False
steak_hache,temoin,1268,6.0,franchie,,,,
