produit,espece,bras,n,mediane,regle_30,ecart_vs_temoin,ic95_bas,ic95_haut,testable
blanc_de_poulet,dinde,halal,7,1.0,sous 30,,,,
blanc_de_poulet,dinde,kasher,7,0.6,sous 30,,,,
blanc_de_poulet,dinde,temoin,986,0.3,franchie,,,,
blanc_de_poulet,porc,temoin,3,0.4,sous 30,,,,
blanc_de_poulet,poulet,halal,53,0.58,franchie,0.08,0.0,0.1,True
blanc_de_poulet,poulet,kasher,1,0.3,sous 30,,,,
blanc_de_poulet,poulet,temoin,3748,0.5,franchie,,,,
cordon_bleu,dinde,halal,37,3.9,franchie,0.7,-0.35,0.8,True
cordon_bleu,dinde,temoin,148,3.2,franchie,,,,
cordon_bleu,indetermine,halal,25,2.6,sous 30,-0.3,-0.6,0.6,False
cordon_bleu,indetermine,temoin,151,2.9,franchie,,,,
cordon_bleu,porc,temoin,1,6.9,sous 30,,,,
cordon_bleu,poulet,halal,15,2.3,sous 30,-0.7,-1.8,1.2,False
cordon_bleu,poulet,kasher,1,2.9,sous 30,,,,
cordon_bleu,poulet,temoin,175,3.0,franchie,,,,
cordon_bleu,volaille_autre,halal,5,3.9,sous 30,,,,
cordon_bleu,volaille_autre,temoin,59,4.5,franchie,,,,
escalope_panee,dinde,halal,12,2.2,sous 30,1.9,1.5,2.0,False
escalope_panee,dinde,kasher,3,3.0,sous 30,,,,
escalope_panee,dinde,temoin,462,0.3,franchie,,,,
escalope_panee,poulet,halal,84,1.16,franchie,-0.34,-0.6,0.2,True
escalope_panee,poulet,kasher,4,2.75,sous 30,,,,
escalope_panee,poulet,temoin,325,1.5,franchie,,,,
jambon_cuit,boeuf,temoin,5,1.5,sous 30,,,,
jambon_cuit,canard,temoin,172,10.5,franchie,,,,
jambon_cuit,dinde,halal,99,1.0,franchie,0.5,0.4,0.7,True
jambon_cuit,dinde,kasher,21,0.3,sous 30,-0.2,-0.3,0.2,False
jambon_cuit,dinde,temoin,171,0.5,franchie,,,,
jambon_cuit,indetermine,halal,33,3.9,franchie,1.9,1.8,2.5,True
jambon_cuit,indetermine,kasher,1,2.3,sous 30,,,,
jambon_cuit,indetermine,temoin,6848,2.0,franchie,,,,
jambon_cuit,lapin,temoin,72,8.4,franchie,,,,
jambon_cuit,porc,halal,3,5.7,sous 30,,,,
jambon_cuit,porc,temoin,2973,8.1,franchie,,,,
jambon_cuit,poulet,halal,151,0.5,franchie,-0.1,-0.2,0.0,True
jambon_cuit,poulet,kasher,15,0.5,sous 30,-0.1,-0.3,0.1,False
jambon_cuit,poulet,temoin,711,0.6,franchie,,,,
jambon_cuit,volaille_autre,halal,41,1.7,franchie,-5.4,-6.45,-3.2,True
jambon_cuit,volaille_autre,kasher,1,0.7,sous 30,,,,
jambon_cuit,volaille_autre,temoin,140,7.1,franchie,,,,
jambon_sec,boeuf,temoin,2,4.15,sous 30,,,,
jambon_sec,cheval,temoin,1,1.0,sous 30,,,,
jambon_sec,indetermine,halal,2,8.0,sous 30,,,,
jambon_sec,indetermine,kasher,1,5.3,sous 30,,,,
jambon_sec,indetermine,temoin,2242,5.0,franchie,,,,
jambon_sec,porc,temoin,408,7.2,franchie,,,,
jambon_sec,volaille_autre,halal,1,0.4,sous 30,,,,
jambon_sec,volaille_autre,temoin,7,4.0,sous 30,,,,
merguez,agneau,halal,25,5.12,sous 30,-4.78,-5.3,3.0,False
merguez,agneau,temoin,383,9.9,franchie,,,,
merguez,boeuf,halal,5,13.0,sous 30,,,,
merguez,boeuf,kasher,1,4.1,sous 30,,,,
merguez,boeuf,temoin,52,10.0,franchie,,,,
merguez,dinde,temoin,2,3.5,sous 30,,,,
merguez,porc,temoin,4,7.75,sous 30,,,,
merguez,poulet,temoin,1,1.2,sous 30,,,,
merguez,veau,halal,1,9.0,sous 30,,,,
merguez,veau,temoin,2,9.75,sous 30,,,,
mortadelle,boeuf,temoin,1,1.3,sous 30,,,,
mortadelle,indetermine,halal,29,5.0,sous 30,-4.0,-5.3,-3.5,False
mortadelle,indetermine,kasher,1,5.0,sous 30,,,,
mortadelle,indetermine,temoin,219,9.0,franchie,,,,
mortadelle,porc,temoin,42,8.9,franchie,,,,
mortadelle,poulet,halal,1,11.6,sous 30,,,,
mortadelle,volaille_autre,halal,3,6.0,sous 30,,,,
mortadelle,volaille_autre,temoin,1,3.0,sous 30,,,,
nugget,boeuf,temoin,1,5.1,sous 30,,,,
nugget,dinde,halal,19,3.5,sous 30,0.5,-0.7,1.1,False
nugget,dinde,temoin,12,3.0,sous 30,,,,
nugget,indetermine,temoin,2,3.0,sous 30,,,,
nugget,porc,temoin,1,2.1,sous 30,,,,
nugget,poulet,halal,64,2.2,franchie,0.3,-0.3,0.55,True
nugget,poulet,kasher,2,1.65,sous 30,,,,
nugget,poulet,temoin,392,1.9,franchie,,,,
nugget,volaille_autre,halal,2,2.1,sous 30,,,,
nugget,volaille_autre,temoin,6,3.1,sous 30,,,,
saucisse_volaille,boeuf,halal,1,3.9,sous 30,,,,
saucisse_volaille,canard,temoin,16,6.25,sous 30,,,,
saucisse_volaille,dinde,halal,8,5.2,sous 30,,,,
saucisse_volaille,dinde,kasher,1,8.0,sous 30,,,,
saucisse_volaille,dinde,temoin,15,6.0,sous 30,,,,
saucisse_volaille,porc,temoin,4,7.9,sous 30,,,,
saucisse_volaille,poulet,halal,49,5.39,franchie,0.74,0.2,1.2,True
saucisse_volaille,poulet,kasher,3,5.0,sous 30,,,,
saucisse_volaille,poulet,temoin,132,4.65,franchie,,,,
saucisse_volaille,volaille_autre,halal,71,5.4,franchie,2.7,2.1,3.3,True
saucisse_volaille,volaille_autre,kasher,7,6.0,sous 30,,,,
saucisse_volaille,volaille_autre,temoin,317,2.7,franchie,,,,
saucisson_sec,boeuf,halal,10,13.05,sous 30,4.5,0.0,6.95,False
saucisson_sec,boeuf,kasher,2,9.3,sous 30,,,,
saucisson_sec,boeuf,temoin,16,8.55,sous 30,,,,
saucisson_sec,canard,temoin,1,14.0,sous 30,,,,
saucisson_sec,cheval,temoin,2,7.2,sous 30,,,,
saucisson_sec,dinde,halal,39,9.8,franchie,0.55,-1.6,4.7,False
saucisson_sec,dinde,kasher,2,6.5,sous 30,,,,
saucisson_sec,dinde,temoin,18,9.25,sous 30,,,,
saucisson_sec,indetermine,halal,112,12.85,franchie,0.85,-1.6,2.0,True
saucisson_sec,indetermine,kasher,9,9.9,sous 30,,,,
saucisson_sec,indetermine,temoin,4214,12.0,franchie,,,,
saucisson_sec,porc,halal,17,13.1,sous 30,0.3,-6.0,4.0,False
saucisson_sec,porc,temoin,906,12.8,franchie,,,,
saucisson_sec,poulet,halal,5,7.36,sous 30,,,,
saucisson_sec,poulet,temoin,3,7.3,sous 30,,,,
saucisson_sec,veau,temoin,1,9.0,sous 30,,,,
saucisson_sec,volaille_autre,halal,4,6.6,sous 30,,,,
saucisson_sec,volaille_autre,temoin,20,12.0,sous 30,,,,
steak_hache,agneau,halal,1,8.0,sous 30,,,,
steak_hache,agneau,temoin,2,8.45,sous 30,,,,
steak_hache,boeuf,halal,111,8.1,franchie,2.1,2.0,2.6,True
steak_hache,boeuf,kasher,8,7.05,sous 30,,,,
steak_hache,boeuf,temoin,1072,6.0,franchie,,,,
steak_hache,cheval,temoin,1,0.66,sous 30,,,,
steak_hache,dinde,temoin,1,3.3,sous 30,,,,
steak_hache,indetermine,halal,2,6.96,sous 30,,,,
steak_hache,indetermine,kasher,2,8.3,sous 30,,,,
steak_hache,indetermine,temoin,135,6.4,franchie,,,,
steak_hache,porc,temoin,39,6.0,franchie,,,,
steak_hache,poulet,halal,1,4.5,sous 30,,,,
steak_hache,poulet,temoin,9,1.8,sous 30,,,,
steak_hache,veau,halal,1,6.0,sous 30,,,,
steak_hache,veau,temoin,9,5.9,sous 30,,,,
