produit,espece,bras,n,mediane,regle_30,ecart_vs_temoin,ic95_bas,ic95_haut,testable
cordon_bleu,dinde,halal,37,11.0,franchie,0.0,0.0,5.0,True
cordon_bleu,dinde,temoin,148,11.0,franchie,,,,
cordon_bleu,indetermine,halal,25,11.0,sous 30,5.0,-5.0,7.0,False
cordon_bleu,indetermine,temoin,151,6.0,franchie,,,,
cordon_bleu,porc,temoin,1,12.0,sous 30,,,,
cordon_bleu,poulet,halal,15,11.0,sous 30,7.0,0.0,8.0,False
cordon_bleu,poulet,kasher,1,4.0,sous 30,,,,
cordon_bleu,poulet,temoin,175,4.0,franchie,,,,
cordon_bleu,volaille_autre,halal,5,11.0,sous 30,,,,
cordon_bleu,volaille_autre,temoin,59,13.0,franchie,,,,
jambon_cuit,boeuf,temoin,1,21.0,sous 30,,,,
jambon_cuit,dinde,halal,85,14.0,franchie,12.0,11.0,13.0,True
jambon_cuit,dinde,kasher,19,3.0,sous 30,1.0,0.0,1.0,False
jambon_cuit,dinde,temoin,160,2.0,franchie,,,,
jambon_cuit,indetermine,halal,3,11.0,sous 30,,,,
jambon_cuit,indetermine,kasher,1,13.0,sous 30,,,,
jambon_cuit,indetermine,temoin,5607,11.0,franchie,,,,
jambon_cuit,porc,temoin,565,11.0,franchie,,,,
jambon_cuit,poulet,halal,137,12.0,franchie,10.0,9.0,10.0,True
jambon_cuit,poulet,kasher,15,3.0,sous 30,1.0,-1.0,1.0,False
jambon_cuit,poulet,temoin,686,2.0,franchie,,,,
jambon_cuit,volaille_autre,halal,26,15.5,sous 30,4.5,2.0,14.0,False
jambon_cuit,volaille_autre,kasher,1,4.0,sous 30,,,,
jambon_cuit,volaille_autre,temoin,35,11.0,franchie,,,,
jambon_sec,boeuf,temoin,2,26.0,sous 30,,,,
jambon_sec,cheval,temoin,1,17.0,sous 30,,,,
jambon_sec,indetermine,halal,2,29.0,sous 30,,,,
jambon_sec,indetermine,kasher,1,28.0,sous 30,,,,
jambon_sec,indetermine,temoin,2233,26.0,franchie,,,,
jambon_sec,porc,temoin,407,29.0,franchie,,,,
jambon_sec,volaille_autre,halal,1,22.0,sous 30,,,,
jambon_sec,volaille_autre,temoin,7,25.0,sous 30,,,,
nugget,boeuf,temoin,1,13.0,sous 30,,,,
nugget,dinde,halal,19,5.0,sous 30,-0.5,-7.5,5.5,False
nugget,dinde,temoin,12,5.5,sous 30,,,,
nugget,indetermine,temoin,2,5.0,sous 30,,,,
nugget,porc,temoin,1,12.0,sous 30,,,,
nugget,poulet,halal,64,5.0,franchie,2.0,0.0,6.5,True
nugget,poulet,kasher,2,3.5,sous 30,,,,
nugget,poulet,temoin,391,3.0,franchie,,,,
nugget,volaille_autre,halal,2,2.0,sous 30,,,,
nugget,volaille_autre,temoin,6,6.0,sous 30,,,,
saucisson_sec,boeuf,halal,10,31.5,sous 30,1.5,-5.5,4.0,False
saucisson_sec,boeuf,kasher,2,25.0,sous 30,,,,
saucisson_sec,boeuf,temoin,16,30.0,sous 30,,,,
saucisson_sec,canard,temoin,1,34.0,sous 30,,,,
saucisson_sec,cheval,temoin,2,19.5,sous 30,,,,
saucisson_sec,dinde,halal,39,30.0,franchie,1.0,-2.0,10.0,False
saucisson_sec,dinde,kasher,2,18.0,sous 30,,,,
saucisson_sec,dinde,temoin,17,29.0,sous 30,,,,
saucisson_sec,indetermine,halal,112,30.0,franchie,-4.0,-6.0,-2.0,True
saucisson_sec,indetermine,kasher,9,32.0,sous 30,,,,
saucisson_sec,indetermine,temoin,4201,34.0,franchie,,,,
saucisson_sec,porc,halal,17,34.0,sous 30,0.0,-13.0,1.0,False
saucisson_sec,porc,temoin,909,34.0,franchie,,,,
saucisson_sec,poulet,halal,5,27.0,sous 30,,,,
saucisson_sec,poulet,temoin,3,27.0,sous 30,,,,
saucisson_sec,veau,temoin,1,20.0,sous 30,,,,
saucisson_sec,volaille_autre,halal,4,21.5,sous 30,,,,
saucisson_sec,volaille_autre,temoin,20,34.0,sous 30,,,,
