produit,bras3,marque,n,nutriscore,sel,proteines,regle_30
blanc_de_poulet,temoin,auchan,69,-6.0,0.1,25.0,franchie
blanc_de_poulet,temoin,cora,20,-6.0,0.08,23.0,sous 30
blanc_de_poulet,temoin,corril,19,-6.0,0.11,23.5,sous 30
blanc_de_poulet,temoin,l-etal-du-volailler,85,-6.0,0.12,23.0,franchie
blanc_de_poulet,temoin,la-nouvelle-agriculture,669,-6.0,0.11,23.0,franchie
blanc_de_poulet,temoin,les-fermiers-de-loue,30,-6.0,0.15,25.0,franchie
blanc_de_poulet,temoin,loue,100,-6.0,0.12,25.0,franchie
blanc_de_poulet,temoin,maitre-coq,429,-6.0,0.18,24.0,franchie
blanc_de_poulet,temoin,marque-repere,47,-6.0,0.18,24.0,franchie
blanc_de_poulet,temoin,monoprix,99,-6.0,0.1,25.0,franchie
blanc_de_poulet,temoin,pere-dodu,71,-6.0,0.13,25.0,franchie
blanc_de_poulet,temoin,picard,17,-6.0,0.12,24.0,sous 30
blanc_de_poulet,temoin,u,128,-6.0,0.11,23.0,franchie
blanc_de_poulet,temoin,volae,124,-6.0,0.13,23.0,franchie
blanc_de_poulet,temoin,volandrie,47,-6.0,0.18,24.0,franchie
blanc_de_poulet,temoin,le-gaulois,1330,-2.0,1.0,23.0,franchie
blanc_de_poulet,temoin,carrefour,24,-1.0,0.65,25.0,sous 30
blanc_de_poulet,temoin,casino,16,0.0,0.95,24.5,sous 30
blanc_de_poulet,temoin,leader-price,63,1.0,1.3,23.3,franchie
blanc_de_poulet,temoin,fleury-michon,28,2.0,1.7,24.0,sous 30
cordon_bleu,temoin,le-gaulois,76,3.0,0.84,15.0,franchie
cordon_bleu,temoin,pere-dodu,45,4.0,1.2,14.0,franchie
cordon_bleu,temoin,maitre-coq,33,6.0,1.23,11.0,franchie
cordon_bleu,temoin,despi,16,13.0,1.29,12.0,sous 30
escalope_panee,temoin,le-gaulois,368,-3.0,0.8,22.0,franchie
escalope_panee,temoin,marque-repere,19,-3.0,0.78,22.7,sous 30
escalope_panee,temoin,volandrie,17,-3.0,0.78,23.0,sous 30
escalope_panee,temoin,volandry,19,-3.0,0.78,22.7,sous 30
escalope_panee,temoin,pere-dodu,54,-1.0,1.1,20.0,franchie
escalope_panee,temoin,u,21,2.0,1.2,19.0,sous 30
escalope_panee,temoin,maitre-coq,17,4.0,1.1,15.0,sous 30
jambon_cuit,temoin,le-gaulois,22,1.0,1.5,21.0,sous 30
jambon_cuit,halal,fleury-michon,51,2.0,1.8,21.0,franchie
jambon_cuit,temoin,broceliande,27,3.0,1.8,21.0,sous 30
jambon_cuit,temoin,fleury-michon,550,5.0,1.8,22.0,franchie
jambon_cuit,temoin,monoprix,41,6.0,1.7,21.0,franchie
jambon_cuit,temoin,auchan,119,7.0,1.9,20.0,franchie
jambon_cuit,temoin,casino,104,7.0,1.8,21.0,franchie
jambon_cuit,temoin,herta,267,7.0,1.8,21.0,franchie
jambon_cuit,temoin,tradilege,27,7.0,1.8,21.0,sous 30
jambon_cuit,temoin,carrefour,136,8.0,1.8,20.0,franchie
jambon_cuit,temoin,franprix,15,8.0,1.8,21.0,sous 30
jambon_cuit,temoin,le-marsigny,22,8.0,1.9,20.0,sous 30
jambon_cuit,temoin,leader-price,65,8.0,1.8,21.0,franchie
jambon_cuit,temoin,madrange,117,8.0,1.9,21.0,franchie
jambon_cuit,temoin,marque-repere,86,8.0,1.87,21.0,franchie
jambon_cuit,temoin,monique-ranou,79,8.0,1.9,21.0,franchie
jambon_cuit,temoin,nestle,47,8.0,1.83,21.0,franchie
jambon_cuit,temoin,netto,34,9.5,2.0,21.0,franchie
jambon_cuit,temoin,rovagnati,18,9.5,1.8,19.0,sous 30
jambon_cuit,temoin,aldi,15,11.0,1.9,20.0,sous 30
jambon_cuit,temoin,belle-france,41,11.0,2.0,21.0,franchie
jambon_cuit,temoin,biocoop,17,11.0,1.9,21.0,sous 30
jambon_cuit,temoin,bioporc,18,11.0,2.05,21.0,sous 30
jambon_cuit,temoin,cora,69,11.0,1.9,20.6,franchie
jambon_cuit,temoin,domaine-picard,144,11.0,2.0,23.0,franchie
jambon_cuit,temoin,dulano,39,11.0,1.9,20.0,franchie
jambon_cuit,temoin,intermarche,32,11.0,1.8,21.15,franchie
jambon_cuit,temoin,lausse,23,11.0,2.0,20.0,sous 30
jambon_cuit,temoin,le-porc-francais,31,11.0,1.9,21.0,franchie
jambon_cuit,temoin,lidl,66,11.0,1.9,20.0,franchie
