sous_categorie,halal,kasher,temoin,halal_n,kasher_n,temoin_n
autres_carnes,12.0,4.0,11.0,354.0,40.0,15526.0
charcuterie_cuite,14.0,3.0,13.0,340.0,40.0,13119.0
charcuterie_seche,28.0,32.0,33.0,234.0,15.0,5995.0
decoupes,0.0,3.5,-3.0,90.0,10.0,6096.0
foie_gras,14.0,,21.0,1.0,,77.0
panes,6.0,5.0,4.0,290.0,12.0,2138.0
plats_cuisines,5.0,3.0,4.0,142.0,7.0,10656.0
preparations_marinees,11.0,4.5,2.0,113.0,6.0,1757.0
rillettes_pates_mousses,18.0,19.5,19.0,39.0,2.0,5574.0
saucisses,18.0,15.0,19.0,238.0,13.0,5739.0
viande_hachee,11.0,9.5,6.0,102.0,8.0,1076.0
