sous_categorie,marque,n,nutriscore,sel,ags,proteines,pct_DE,regle_30
autres_carnes,oriental-viandes,15,12.0,1.77,2.5,16.0,80.0,sous 30
autres_carnes,arabi,11,15.0,2.5,2.6,14.0,82.0,sous 30
autres_carnes,isla-delice,34,19.0,3.4,1.2,14.6,82.0,franchie
charcuterie_cuite,fleury-michon,54,2.0,1.8,0.4,21.0,9.0,franchie
charcuterie_cuite,carrefour,13,12.0,2.3,1.2,20.0,77.0,sous 30
charcuterie_cuite,isla-mondial,30,13.0,2.4,0.5,19.05,93.0,franchie
charcuterie_cuite,reghalal,33,13.0,2.5,0.9,18.0,91.0,franchie
charcuterie_cuite,arabi,12,14.5,2.5,1.7,11.62,100.0,sous 30
charcuterie_cuite,isla-delice,57,18.0,3.4,0.5,16.5,91.0,franchie
charcuterie_seche,isla-mondial,14,28.0,3.6,12.6,22.05,100.0,sous 30
charcuterie_seche,oriental-viandes,11,32.0,3.8,12.0,22.5,100.0,sous 30
charcuterie_seche,isla-delice,22,34.0,4.25,13.14,22.5,100.0,sous 30
decoupes,reghalal,12,3.5,1.55,1.55,22.0,42.0,sous 30
decoupes,isla-delice,10,17.0,2.25,3.15,13.5,70.0,sous 30
panes,isla-delice,23,3.0,1.3,2.3,11.0,39.0,sous 30
panes,reghalal,16,8.0,1.19,3.5,12.5,50.0,sous 30
panes,oriental-viandes,14,8.5,1.27,2.7,12.0,50.0,sous 30
panes,id-halal,14,11.0,1.26,3.65,12.0,57.0,sous 30
panes,arabi,10,12.5,1.12,4.48,13.9,60.0,sous 30
plats_cuisines,isla-delice,14,0.0,1.0,2.52,6.5,0.0,sous 30
plats_cuisines,dounia-halal,10,4.0,0.9,1.0,4.35,0.0,sous 30
plats_cuisines,oriental-viandes,14,5.5,1.3,1.6,5.05,21.0,sous 30
saucisses,royal-halal,15,13.0,1.7,4.0,17.0,100.0,sous 30
saucisses,reghalal,13,15.0,1.99,4.7,13.0,85.0,sous 30
viande_hachee,isla-delice,10,3.5,0.38,9.0,16.9,40.0,sous 30
