etablissement,departement,insee,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,part_mer_pct,ecart_sans_dominante,regle_30,alerte_mer
fr-29-046-500,29,29046,14,6,0,-16.5,1.0,connetable,28.6,100.0,-16.5,sous 30,True
fr-29-046-514,29,29046,20,9,0,-16.0,1.0,petit-navire,40.0,85.0,-16.0,sous 30,True
fr-56-186-004,56,56186,11,1,0,-15.0,1.0,la-belle-iloise,100.0,100.0,,sous 30,True
fr-84-080-002,84,84080,21,12,0,-15.0,0.88,carrefour,14.3,0.0,-14.0,sous 30,False
fr-14-738-042,14,14738,13,6,0,-14.0,1.15,cap-ocean,38.5,92.3,,sous 30,True
fr-14-762-106,14,14762,14,5,0,-13.0,0.15,l-etal-du-boucher,64.3,0.0,,sous 30,False
fr-84-029-002,84,84029,21,7,0,-12.0,1.0,carrefour,47.6,0.0,-11.0,sous 30,False
fr-53-097-001,53,53097,42,4,0,-12.0,0.15,l-etal-du-boucher,66.7,0.0,3.5,franchie,False
fr-65-452-001,65,65452,15,3,0,-9.0,0.33,inconnue,73.3,0.0,,sous 30,False
fr-21-231-005,21,21231,19,10,0,-8.0,1.5,antoine-sabatier,26.3,0.0,-8.0,sous 30,False
fr-43-211-010,43,43211,36,12,0,-7.0,4.6,saint-agaune,41.7,0.0,-7.0,franchie,False
fr-29-039-512,29,29039,15,4,0,-7.0,1.0,les-mouettes-d-arvor,66.7,80.0,,sous 30,True
fr-22-182-005,22,22182,11,7,1,-7.0,1.0,inconnue,36.4,90.9,,sous 30,True
fr-43-268-017,43,43268,10,3,0,-7.0,3.0,inconnue,50.0,0.0,,sous 30,False
fr-59-597-001,59,59597,50,5,0,-7.0,1.4,fleury-michon,84.0,0.0,,franchie,False
fr-67-127-001,67,67127,22,7,0,-6.5,0.1,inconnue,40.9,0.0,-6.0,sous 30,False
fr-80-799-001,80,80799,53,8,0,-6.0,1.5,inconnue,77.4,0.0,-4.5,franchie,False
fr-56-069-005,56,56069,19,7,0,-6.0,0.9,groix-nature,63.2,94.7,,sous 30,True
fr-19-031-008,19,19031,45,8,0,-6.0,1.8,carrefour,64.4,0.0,-13.0,franchie,False
fr-21-464-002,21,21464,10,5,0,-6.0,1.51,inconnue,50.0,0.0,,sous 30,False
