etablissement,departement,insee,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,part_mer_pct,ecart_sans_dominante,regle_30,alerte_mer
fr-53-097-001,53,53097,42,4,0,-12.0,0.15,l-etal-du-boucher,66.7,0.0,3.5,franchie,False
fr-43-211-010,43,43211,36,12,0,-7.0,4.6,saint-agaune,41.7,0.0,-7.0,franchie,False
fr-59-597-001,59,59597,50,5,0,-7.0,1.4,fleury-michon,84.0,0.0,,franchie,False
fr-80-799-001,80,80799,53,8,0,-6.0,1.5,inconnue,77.4,0.0,-4.5,franchie,False
fr-19-031-008,19,19031,45,8,0,-6.0,1.8,carrefour,64.4,0.0,-13.0,franchie,False
fr-85-182-003,85,85182,255,5,0,-5.0,1.8,fleury-michon,97.6,0.0,,franchie,False
fr-35-238-019,35,35238,58,3,0,-5.0,1.47,maitre-jacques,60.3,0.0,-13.0,franchie,False
fr-67-218-001,67,67218,101,2,0,-4.0,1.8,herta,78.2,0.0,-7.0,franchie,False
fr-87-065-001,87,87065,202,30,0,-4.0,1.9,madrange,44.6,0.0,-4.0,franchie,False
fr-33-036-007,33,33036,34,3,0,-3.0,1.2,inconnue,85.3,0.0,,franchie,False
fr-42-305-004,42,42305,39,13,0,-3.0,1.88,tradival,28.2,0.0,-1.5,franchie,False
fr-79-195-003,79,79195,296,12,0,-3.0,0.11,la-nouvelle-agriculture,65.2,0.0,-3.0,franchie,False
fr-76-159-003,76,76159,41,15,0,-3.0,1.1,tripes-paillard,31.7,0.0,-3.0,franchie,False
fr-64-024-003,64,64024,45,2,0,-3.0,1.8,hiruak,84.4,0.0,,franchie,False
fr-89-069-001,89,89069,40,11,5,-3.0,0.11,inconnue,32.5,0.0,-3.0,franchie,False
fr-85-084-001,85,85084,81,10,0,-3.0,0.14,maitre-coq,65.4,0.0,-3.0,franchie,False
fr-71-056-001,71,71056,40,10,0,-3.0,0.4,le-gaulois,40.0,0.0,-6.0,franchie,False
fr-15-187-012,15,15187,40,19,0,-2.0,0.95,carrefour,30.0,0.0,-2.0,franchie,False
fr-26-347-022,26,26347,61,8,0,-2.0,1.63,jean-roze,47.5,0.0,-1.0,franchie,False
fr-28-027-005,28,28027,68,6,0,-2.0,1.7,inconnue,67.6,0.0,-1.0,franchie,False
fr-56-140-006,56,56140,73,17,0,-2.0,1.8,carrefour,28.8,0.0,-1.5,franchie,False
fr-79-195-001,79,79195,50,17,0,-2.0,1.3,inconnue,30.0,0.0,-2.0,franchie,False
fr-77-438-001,77,77438,35,12,0,-2.0,0.8,william-saurin,51.4,0.0,0.0,franchie,False
fr-79-246-002,79,79246,41,10,0,-2.0,1.3,madrange,78.0,0.0,,franchie,False
fr-12-052-003,12,12052,65,24,0,-2.0,0.79,raynal-et-roquelaure,18.5,0.0,-2.0,franchie,False
fr-38-341-005,38,38341,43,8,0,-2.0,1.3,madrange,76.7,0.0,-2.5,franchie,False
fr-45-147-004,45,45147,43,11,0,-2.0,1.7,tradival,25.6,0.0,-4.0,franchie,False
fr-11-076-006,11,11076,55,13,0,-1.5,0.9,la-belle-chaurienne,40.0,0.0,-2.0,franchie,False
fr-35-196-001,35,35196,115,18,0,-1.0,1.7,inconnue,37.4,0.0,-1.0,franchie,False
