departement,n,sites,marques,n_halal,ecart_median,sel
05,33,11,13,0,-4.0,1.5
21,67,10,26,1,-4.0,1.5
30,40,12,13,0,-3.0,0.47
53,115,16,22,5,-3.0,0.24
79,642,31,71,0,-3.0,0.18
19,112,17,29,0,-2.25,1.6
31,51,17,16,0,-2.0,1.6
33,82,16,21,0,-2.0,1.5
28,112,18,25,1,-1.5,1.7
14,713,34,95,7,-1.0,1.3
15,74,13,31,0,-1.0,1.2
49,329,23,48,2,-1.0,0.22
45,49,5,12,0,-1.0,1.65
59,214,29,52,7,-1.0,1.5
26,117,21,29,3,-1.0,1.3
02,86,5,24,0,-1.0,0.8
87,453,16,72,0,-1.0,1.7
85,1438,65,122,36,-1.0,1.4
94,50,21,21,5,-1.0,1.03
95,143,7,23,1,-1.0,1.9
84,299,20,68,8,-1.0,0.81
80,246,14,39,0,-1.0,1.6
12,529,55,113,2,0.0,1.94
29,1381,66,161,7,0.0,1.5
57,237,11,44,0,0.0,3.0
47,223,18,45,4,0.0,0.94
35,588,44,71,4,0.0,1.54
22,1154,56,158,20,0.0,1.6
32,97,22,37,0,0.0,1.4
56,1007,48,144,122,0.0,1.5
58,46,6,12,0,0.0,1.54
60,59,12,21,1,0.0,2.3
72,1483,41,125,8,0.0,1.3
76,153,12,46,4,0.0,1.6
66,70,11,8,0,0.0,1.9
77,81,9,29,1,0.0,1.04
63,82,8,33,0,0.0,4.6
67,509,40,74,2,0.0,1.8
62,295,32,45,0,0.0,1.8
43,243,17,59,0,0.0,4.15
18,33,3,11,1,0.0,1.6
86,35,13,21,1,0.0,1.0
50,79,20,25,0,0.0,1.51
11,276,16,68,0,0.0,1.21
03,95,11,27,4,0.0,0.22
13,120,12,38,0,0.0,2.0
10,60,9,20,0,0.0,1.87
24,176,34,55,1,1.0,1.3
69,388,43,96,24,1.0,1.9
73,135,18,28,0,1.0,3.9
55,140,10,30,7,1.0,4.1
71,170,20,50,0,1.0,1.5
44,490,28,119,6,1.0,1.4
61,172,17,27,18,1.0,1.04
51,45,4,17,1,1.0,0.84
89,98,12,26,25,1.0,0.96
81,182,25,48,0,1.0,4.1
07,133,22,45,0,1.0,4.6
38,395,21,76,0,1.0,2.7
27,34,8,15,0,1.0,1.1
46,41,11,18,0,1.5,1.58
34,35,8,10,0,2.0,1.75
01,312,29,84,11,2.0,1.9
42,396,25,89,55,2.0,3.56
74,84,15,16,5,2.0,2.2
88,74,12,22,14,2.0,1.82
97,36,10,14,0,2.5,1.85
68,74,16,20,3,2.5,2.0
70,45,11,14,1,3.0,2.0
41,85,8,25,15,3.0,0.77
25,133,24,29,0,4.0,2.0
39,101,11,32,0,4.0,1.8
40,148,32,52,1,4.5,1.5
64,251,40,61,0,5.0,2.0
65,196,15,66,1,5.0,1.6
