jeu,org,format,titre,url
Liste des établissements agréés CE produisant des produits hautement raffinés / highly refined product,"Ministère de l'Agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",pdf,Liste des établissements agréés CE produisant des produits hautement raffinés / highly refined product,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA_PROD_RAFF.pdf
Liste des établissements agréés CE produisant des produits hautement raffinés / highly refined product,"Ministère de l'Agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",txt,Liste des établissements agréés CE produisant des produits hautement raffinés / highly refined product,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA_PROD_RAFF.txt
Liste des établissements agréés au titre du Reglement (CE) n°183/2005,"Ministère de l'Agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",pdf,Liste des établissements agréés au titre du règlement (CE) n°183/2005 ,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AGRRG183_VAL.pdf
Liste des établissements agréés au titre du Reglement (CE) n°183/2005,"Ministère de l'Agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",txt,Liste des établissements agréés au titre du règlement (CE) n°183/2005 ,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AGRRG183_VAL.txt
Établissements bateau école agréés,DDTM Pas-de-Calais,esri shapefile (shp),Téléchargement simple (Atom) du jeu et des documents associés via internet,https://atom.geo-ide.developpement-durable.gouv.fr/atomArchive/GetResource?id=ef92b043-477e-4c69-96ee-2458af88f78b&dataType=dataset
Établissements bateau école agréés,DDTM Pas-de-Calais,esri shapefile (shp),Téléchargement simple (Atom) du jeu et des documents associés via intranet,https://atom.geo-ide.e2.rie.gouv.fr/atomArchive/GetResource?id=ef92b043-477e-4c69-96ee-2458af88f78b&dataType=dataset
Établissements bateau école agréés,DDTM Pas-de-Calais,wfs,URL du GetCapabilities du service wfs sur internet,https://ogc.geo-ide.developpement-durable.gouv.fr/wxs?map=/opt/data/stack/mapfiles/1.4/org_38066/ef92b043-477e-4c69-96ee-2458af88f78b.internet.map&SERVICE=WFS&REQUEST=GetCapabilities
Établissements bateau école agréés,DDTM Pas-de-Calais,wms,URL du GetCapabilities du service wms sur internet,https://ogc.geo-ide.developpement-durable.gouv.fr/wxs?map=/opt/data/stack/mapfiles/1.4/org_38066/ef92b043-477e-4c69-96ee-2458af88f78b.internet.map&SERVICE=WMS&REQUEST=GetCapabilities
Établissements bateau école agréés,DDTM Pas-de-Calais,wfs,URL du GetCapabilities du service wfs sur intranet,https://ogc.geo-ide.e2.rie.gouv.fr/wxs?map=/opt/data/stack/mapfiles/1.4/org_38066/ef92b043-477e-4c69-96ee-2458af88f78b.intranet.map&SERVICE=WFS&REQUEST=GetCapabilities
Établissements bateau école agréés,DDTM Pas-de-Calais,wms,URL du GetCapabilities du service wms sur intranet,https://ogc.geo-ide.e2.rie.gouv.fr/wxs?map=/opt/data/stack/mapfiles/1.4/org_38066/ef92b043-477e-4c69-96ee-2458af88f78b.intranet.map&SERVICE=WMS&REQUEST=GetCapabilities
