famille,sous_categorie,n_halal,n_temoin,pct_halal,pct_temoin,ecart_points,ic95_bas,ic95_haut,etabli
phosphates,autres_carnes,115,5802,49.6,7.3,42.3,33.3,51.3,True
phosphates,charcuterie_cuite,248,6177,58.1,9.0,49.1,42.8,55.1,True
phosphates,charcuterie_seche,136,2803,50.0,9.4,40.6,32.3,49.0,True
phosphates,decoupes,35,1600,17.1,3.1,14.0,4.9,29.6,True
phosphates,panes,115,1083,53.9,30.4,23.5,14.0,32.8,True
phosphates,plats_cuisines,83,6627,22.9,14.9,8.0,0.2,18.1,True
phosphates,preparations_marinees,37,768,40.5,10.5,30.0,15.6,46.1,True
phosphates,saucisses,138,2270,69.6,22.5,47.1,38.7,54.3,True
phosphates,viande_hachee,62,691,0.0,0.1,-0.1,-0.8,5.7,False
nitrites_nitrates,autres_carnes,115,5802,45.2,31.2,14.1,5.2,23.2,True
nitrites_nitrates,charcuterie_cuite,248,6177,73.8,68.5,5.3,-0.7,10.5,False
nitrites_nitrates,charcuterie_seche,136,2803,91.2,81.8,9.4,3.2,13.4,True
nitrites_nitrates,decoupes,35,1600,5.7,1.9,3.8,-0.4,16.7,False
nitrites_nitrates,panes,115,1083,29.6,15.6,14.0,6.1,23.1,True
nitrites_nitrates,plats_cuisines,83,6627,15.7,16.8,-1.1,-7.4,8.3,False
nitrites_nitrates,preparations_marinees,37,768,10.8,8.7,2.1,-4.8,16.1,False
nitrites_nitrates,saucisses,138,2270,68.1,47.1,21.0,12.6,28.5,True
nitrites_nitrates,viande_hachee,62,691,0.0,1.7,-1.7,-3.0,4.1,False
exhausteurs,autres_carnes,115,5802,13.9,2.2,11.7,6.5,19.2,True
exhausteurs,charcuterie_cuite,248,6177,13.7,1.6,12.1,8.4,17.0,True
exhausteurs,charcuterie_seche,136,2803,29.4,2.7,26.7,19.6,34.8,True
exhausteurs,decoupes,35,1600,14.3,0.3,14.0,5.9,29.1,True
exhausteurs,panes,115,1083,10.4,1.0,9.4,5.0,16.4,True
exhausteurs,plats_cuisines,83,6627,12.0,3.4,8.6,3.2,17.3,True
exhausteurs,preparations_marinees,37,768,13.5,1.2,12.3,4.7,26.8,True
exhausteurs,saucisses,138,2270,37.7,8.1,29.5,21.8,37.9,True
exhausteurs,viande_hachee,62,691,8.1,1.0,7.1,2.4,16.5,True
