code,nom,marque,produit,espece,bras,ns,grade,sel,proteines,regle
00002974,Filet de poulet rôti,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
00003001,Filet de poulet extra tendre thym citron,Le Gaulois,blanc_de_poulet,poulet,temoin,0.0,a,1.3,22.0,decoupe_crue
0037600132602,Oven Roasted Deli Turkey,Hormel Natural Choice,blanc_de_poulet,dinde,temoin,11.0,d,2.05357142857143,19.6428571428571,decoupe_crue
0203213018439,Filet de poulet basquaise,,blanc_de_poulet,poulet,temoin,1.0,b,1.2,14.0,decoupe_crue
00815949,Oven Roasted Turkey Breast,Trader Joe's,blanc_de_poulet,dinde,temoin,3.0,c,1.875,21.4285714285714,decoupe_crue
0081669013006,Hähnchen-Filetinis,Bofrost,blanc_de_poulet,poulet,temoin,0.0,a,1.3,20.5,decoupe_crue
0211629025842,Filets de poulet rôti,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791015412,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791016600,Filet de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791019359,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791020997,Filets de poulet rôti,Volaé,blanc_de_poulet,poulet,temoin,3.0,c,1.7,23.0,decoupe_crue
0211791021529,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791021840,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.3,23.0,decoupe_crue
0211791022304,Filets de poulet rotis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.2599999904633,22.299999237061,decoupe_crue
0211791022700,Filet de poulet roti,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791022830,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791023554,Filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791024667,Filets de Poulet Rôtis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791024735,Filets poulet,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791024995,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.2599999904633,22.299999237061,decoupe_crue
0211791025060,Filets de poulet rôtis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791025329,Filets de poulet rotis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791025527,Filet de poulet roti,Sélection Intermarché,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791025657,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791025985,Filets de poulet rôti,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791026302,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791026500,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.2599999904633,22.299999237061,decoupe_crue
0211791026630,Filet de poulet rôti cuits,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791026760,Filet de poulet roti,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791026838,Filets  de poulet  rotis,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
0211791026968,filets de poulet rotis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
0211791027095,Filets de poulet rôtis,,blanc_de_poulet,poulet,temoin,1.0,b,1.37,24.1,decoupe_crue
