code,nom,marque,produit,espece,bras,ns,grade,sel,proteines,n_ref,ns_ref,sel_ref,proteines_ref,ecart,percentile
3253880000036,35 Boulettes Orientales Halal Surgelées,Al jayid,steak_hache,indetermine,halal,29.0,e,11.0,14.0,134,16.0,1.6,15.0,13.0,98.5
4251871704313,Mortadelle de poulet,,mortadelle,indetermine,halal,28.0,e,7.0,10.0,219,22.0,2.325,15.0,6.0,94.1
3760114530066,Cachir gout poulet,Essafa,saucisse_volaille,poulet,halal,22.0,e,8.0,23.0,134,14.0,1.9,14.0,8.0,93.3
2763907002567,Saucisson Pur Bœuf Halal,,saucisson_sec,indetermine,halal,35.0,e,6.2,39.0,4208,34.0,4.4,26.0,1.0,70.8
2763907002673,Saucisson pur Bœuf sélection Halal,,saucisson_sec,indetermine,halal,35.0,e,6.2,39.0,4208,34.0,4.4,26.0,1.0,70.8
2763907003038,Saucisson pur boeuf,,saucisson_sec,indetermine,halal,35.0,e,6.2,39.0,4208,34.0,4.4,26.0,1.0,70.8
3683080570372,Salami de boeuf,H.market  sélection,saucisson_sec,indetermine,halal,37.0,e,10.0,13.0,4208,34.0,4.4,26.0,3.0,99.6
3095757195014,Blanc de Poulet  - 25% de sel* Halal,Fleury Michon,jambon_cuit,poulet,halal,21.0,e,13.7675,22.0,723,2.0,1.8,21.0,19.0,98.8
3770022585546,Cordon bleu de poulet halal,,cordon_bleu,poulet,halal,24.0,e,12.0,13.0,176,4.0,1.2,13.0,20.0,99.4
4040328070633,Mini saucissons de poulet,Suntat,saucisson_sec,indetermine,halal,35.0,e,6.3,31.0,4208,34.0,4.4,26.0,1.0,70.8
