etablissement,n_produits,n_marques,n_halal,n_temoin
fr-22-093-001,232,45,1,236
fr-72-264-002,719,44,0,728
fr-14-752-020,262,43,0,273
fr-38-012-001,222,39,0,223
fr-57-032-001,165,36,0,170
fr-29-247-022,272,36,1,271
fr-44-180-004,166,35,0,170
fr-72-080-002,146,32,2,144
fr-56-010-001,121,30,0,127
fr-29-097-020,113,30,0,113
fr-44-190-005,79,30,2,77
fr-44-072-002,61,30,3,62
fr-01-249-003,90,29,4,86
fr-22-225-001,139,29,0,139
fr-87-065-001,199,29,0,202
fr-11-262-047,97,28,0,97
fr-72-331-001,163,28,0,169
fr-84-007-020,96,26,0,103
fr-63-427-001,55,25,0,58
fr-29-269-020,94,24,0,103
fr-55-545-002,115,24,6,110
fr-12-052-003,63,23,0,67
fr-69-238-010,64,23,0,69
fr-12-063-025,148,23,0,149
fr-44-014-001,58,22,1,58
fr-65-100-003,50,22,0,58
fr-87-001-001,63,22,0,63
fr-87-085-003,118,22,0,120
fr-65-375-001,52,21,0,52
fr-01-159-002,50,21,0,53
fr-42-165-006,70,21,0,70
de-ev-42,27,20,0,28
fr-42-129-001,52,20,0,53
fr-02-617-001,70,20,0,72
fr-15-187-012,36,19,0,41
fr-67-348-002,87,19,0,88
fr-44-131-008,30,19,0,30
fr-12-202-001,67,19,1,66
fr-84-029-001,77,19,4,73
fr-39-475-003,45,18,0,45
fr-85-233-001,48,18,0,48
fr-85-086-001,59,18,1,58
fr-29-188-020,58,18,0,59
fr-22-046-001,244,18,1,243
fr-71-350-001,43,17,0,43
fr-35-196-001,119,17,0,119
fr-22-007-001,70,17,0,70
fr-79-049-002,28,16,0,28
fr-56-222-002,87,16,72,15
fr-85-006-001,72,16,0,73
fr-69-243-004,46,16,0,50
fr-56-140-006,68,16,0,73
fr-79-195-001,50,16,0,50
fr-49-323-032,62,16,0,62
fr-14-752-010,219,16,6,219
fr-42-175-001,53,16,0,55
fr-22-182-001,42,16,0,44
fr-56-261-001,83,16,0,84
fr-85-222-003,39,15,0,40
fr-85-215-003,40,15,0,40
fr-85-059-004,129,15,0,130
de-th-ev-3045,56,15,0,56
fr-80-318-001,42,15,0,42
fr-22-321-008,38,15,5,33
fr-29-004-023,216,15,0,222
fr-29-018-020,25,15,0,25
fr-13-074-001,53,15,0,53
fr-43-190-003,26,15,0,26
fr-10-297-001,39,15,0,39
fr-56-246-008,156,15,0,156
fr-76-159-003,41,14,0,41
fr-35-139-001,43,14,0,44
fr-85-065-001,62,14,0,62
fr-95-280-001,73,14,0,73
fr-29-051-020,50,14,0,50
fr-12-300-005,30,14,0,30
fr-79-005-001,42,14,0,43
fr-24-328-002,28,14,0,28
fr-40-281-001,36,14,0,36
fr-64-010-003,31,14,0,31
fr-51-649-002,38,13,1,37
fr-11-076-050,25,13,0,25
fr-11-076-006,53,13,0,55
fr-29-233-001,108,13,0,108
fr-47-252-001,41,13,4,37
fr-76-400-001,45,13,1,45
fr-01-336-001,29,13,1,28
fr-03-315-001,31,13,4,27
fr-85-222-009,34,13,0,35
fr-22-136-007,48,13,0,49
fr-39-198-004,39,13,0,39
fr-87-187-003,32,12,0,32
fr-72-175-001,53,12,3,50
fr-85-154-002,146,12,0,149
fr-71-157-028,21,12,0,21
fr-77-438-001,34,12,0,36
fr-29-020-020,36,12,0,36
fr-07-110-002,28,12,0,28
fr-42-305-004,39,12,0,39
fr-67-529-001,27,12,0,27
fr-59-527-001,34,12,0,34
fr-61-096-020,35,12,3,32
fr-43-211-009,55,12,0,55
fr-42-334-001,24,12,0,25
fr-43-211-010,36,12,0,36
fr-47-323-329,34,11,0,35
fr-21-200-001,15,11,0,15
fr-56-075-003,17,11,0,17
fr-49-099-002,159,11,1,158
fr-14-431-022,13,11,0,13
de-ni-33333,19,11,0,21
fr-64-513-004,15,11,0,15
fr-69-135-001,32,11,25,7
fr-73-006-003,19,11,0,21
fr-38-051-001,46,11,0,46
fr-22-364-008,62,11,0,63
fr-81-144-022,29,11,0,29
fr-79-195-003,295,11,0,296
fr-84-080-002,21,11,0,21
it-444-l,22,11,0,22
fr-14-630-043,65,11,0,65
fr-85-217-004,18,11,0,19
