etablissement,n,n_marques,n_halal,ecart_median,marque_dominante,part_dominante_pct,ecart_sans_dominante,n_sans_dominante,regle_30
fr-29-046-500,14,6,0,-16.5,connetable,28.6,-16.5,10,sous 30
fr-29-046-514,20,8,0,-16.0,petit-navire,40.0,-16.0,12,sous 30
fr-56-186-004,11,1,0,-15.0,la-belle-iloise,100.0,,0,sous 30
fr-84-080-002,21,11,0,-15.0,carrefour,14.3,-14.0,18,sous 30
fr-14-738-042,13,6,0,-14.0,cap-ocean,38.5,,8,sous 30
fr-14-762-106,14,5,0,-14.0,l-etal-du-boucher,64.3,,5,sous 30
es-26-00322-cc,26,3,0,-13.5,panzani,88.5,,3,sous 30
fr-53-097-001,42,3,0,-13.0,l-etal-du-boucher,66.7,2.5,14,franchie
it-701-l,11,3,0,-12.0,panzani,63.6,,4,sous 30
fr-84-029-002,21,7,0,-12.0,carrefour,47.6,-11.0,11,sous 30
fr-65-452-001,15,2,0,-9.0,maison-ader,20.0,-15.0,12,sous 30
it-d627x,13,2,0,-9.0,citterio,92.3,,1,sous 30
fr-21-231-005,19,9,0,-8.0,antoine-sabatier,26.3,-8.0,14,sous 30
fr-22-182-005,11,6,1,-7.0,l-ile-bleue,18.2,,9,sous 30
fr-29-039-512,15,4,0,-7.0,les-mouettes-d-arvor,66.7,,5,sous 30
fr-80-799-001,53,7,0,-7.0,salaison-du-terroir,7.5,-10.0,49,franchie
fr-59-597-001,50,4,0,-7.0,fleury-michon,84.0,,8,franchie
fr-67-127-001,22,6,0,-6.5,bruno-siebert,36.4,-7.5,14,sous 30
fr-43-211-010,36,12,0,-6.0,saint-agaune,41.7,-6.0,21,franchie
fr-10-362-003,13,3,0,-6.0,jean-roze,53.8,,6,sous 30
fr-43-268-017,10,2,0,-6.0,manet-freres,40.0,,6,sous 30
fr-56-069-005,19,7,0,-6.0,groix-nature,63.2,,7,sous 30
fr-21-464-002,10,4,0,-6.0,antoine-sabatier,20.0,,8,sous 30
fr-19-031-008,45,7,0,-6.0,carrefour,64.4,-13.0,16,franchie
fr-35-238-019,58,2,0,-6.0,maitre-jacques,60.3,-13.0,23,franchie
fr-02-514-001,10,5,0,-5.5,carrefour,60.0,,4,sous 30
fr-33-038-007,10,0,0,-5.0,,100.0,,0,sous 30
fr-85-182-003,255,4,0,-5.0,fleury-michon,97.6,,6,franchie
de-nw-20028,14,8,0,-4.5,boucherie-st-clement,35.7,,9,sous 30
fr-42-305-004,39,12,0,-4.0,tradival,28.2,-2.5,28,franchie
de-ni-11021,12,4,0,-4.0,l-etal-du-volailler,75.0,,3,sous 30
fr-53-130-001,15,8,3,-4.0,aldi,13.3,-4.0,13,sous 30
fr-30-233-001,14,3,0,-4.0,l-etal-du-volailler,28.6,-4.0,10,sous 30
fr-44-079-002,19,7,0,-4.0,conserverie-des-saveurs,36.8,-4.0,12,sous 30
fr-44-003-002,12,6,0,-4.0,u,33.3,,8,sous 30
fr-53-048-002,10,4,1,-4.0,auchan,30.0,,7,sous 30
fr-79-195-003,296,11,0,-4.0,la-nouvelle-agriculture,65.2,-4.0,103,franchie
fr-05-092-001,20,3,0,-4.0,rostain,75.0,,5,sous 30
fr-03-236-001,25,5,0,-4.0,volae,24.0,-4.0,19,sous 30
fr-85-084-001,81,9,0,-4.0,maitre-coq,65.4,-4.0,28,franchie
fr-69-028-001,25,4,0,-4.0,les-delices-de-lyon,60.0,-5.0,10,sous 30
fr-72-168-001,27,3,0,-4.0,loue,63.0,-4.0,10,sous 30
fr-64-024-003,45,1,0,-4.0,hiruak,84.4,,0,franchie
fr-67-218-001,101,2,0,-4.0,herta,78.2,-7.0,22,franchie
fr-21-295-001,11,4,0,-4.0,ets-roux,45.5,,6,sous 30
fr-87-065-001,202,29,0,-4.0,madrange,44.6,-4.0,112,franchie
fr-85-164-001,11,4,0,-4.0,gastromer,36.4,,7,sous 30
fr-71-056-001,40,9,0,-4.0,le-gaulois,40.0,-6.0,24,franchie
fr-89-069-001,40,10,5,-4.0,duc,22.5,-4.0,31,franchie
fr-32-107-030,11,3,0,-4.0,volae,63.6,,4,sous 30
fr-31-091-010,11,3,0,-3.5,sovivo,36.4,,7,sous 30
fr-38-341-005,43,8,0,-3.0,madrange,76.7,-3.5,10,franchie
fr-33-036-007,34,2,0,-3.0,maison-clemens,11.8,-3.0,30,franchie
fr-56-140-006,73,16,0,-3.0,carrefour,28.8,-2.0,52,franchie
fr-79-246-002,41,10,0,-3.0,madrange,78.0,,9,franchie
fr-79-195-001,50,16,0,-3.0,douce-france,12.0,-4.0,44,franchie
fr-43-177-003,27,2,0,-3.0,salaisons-massardier,7.4,-2.0,25,sous 30
fr-26-347-022,61,7,0,-3.0,jean-roze,47.5,-2.0,32,franchie
fr-71-004-001,10,7,0,-3.0,fourchettes-co,30.0,,7,sous 30
fr-80-751-001,10,3,0,-3.0,les-marmites-d-augustine,10.0,,9,sous 30
fr-72-090-011,15,7,0,-3.0,carrefour,26.7,-2.0,11,sous 30
fr-14-762-026,20,7,0,-3.0,amand-terroir,10.0,-3.0,18,sous 30
it-2008-s,20,1,0,-3.0,gardani,100.0,,0,sous 30
fr-01-405-004,25,2,0,-3.0,la-bresse,32.0,-3.0,17,sous 30
fr-76-159-003,41,14,0,-3.0,tripes-paillard,31.7,-3.0,28,franchie
fr-12-052-009,28,7,0,-3.0,maison-serrault,17.9,-3.0,23,sous 30
fr-85-082-005,13,2,0,-3.0,les-delices-de-clobert,23.1,-3.0,10,sous 30
it-955-l,26,4,0,-2.5,golfera,80.8,,5,sous 30
de-ev-3,10,10,0,-2.0,aldi,10.0,,9,sous 30
uk-in003,13,3,0,-2.0,marks-spencer,69.2,,4,sous 30
fr-83-054-001,17,7,0,-2.0,madern,41.2,-2.0,10,sous 30
fr-85-154-001,17,5,3,-2.0,camille-poiraud,11.8,-2.0,15,sous 30
fr-16-015-015,10,1,0,-2.0,maitre-cochon,50.0,,0,sous 30
fr-19-031-003,13,4,0,-2.0,bledina,61.5,,5,sous 30
fr-87-085-006,13,5,0,-2.0,monoprix,46.2,,7,sous 30
fr-15-187-012,40,18,0,-2.0,carrefour,30.0,-2.0,28,franchie
fr-85-222-003,40,15,0,-2.0,la-cuisine-d-oceane,30.0,-1.5,28,franchie
fr-61-077-012,17,1,0,-2.0,comte-de-bellou,23.5,,0,sous 30
fr-67-144-001,31,3,0,-2.0,moritz,54.8,-2.0,14,franchie
fr-72-039-003,45,1,0,-2.0,charcuterie-ruel,100.0,,0,franchie
fr-11-076-050,25,13,0,-2.0,jean-larnaudie,16.0,-1.0,21,sous 30
fr-12-052-003,65,23,0,-2.0,raynal-et-roquelaure,18.5,-2.0,53,franchie
fr-77-438-001,35,12,0,-2.0,william-saurin,51.4,0.0,17,franchie
fr-11-076-006,55,13,0,-2.0,la-belle-chaurienne,40.0,-2.0,33,franchie
fr-72-264-005,11,1,1,-2.0,charal,100.0,,0,sous 30
