niveau,cle,famille,pct_halal,pct_temoin,ecart_points,ic95_bas,ic95_haut,n_halal,n_temoin,etabli
perimetre,,effort_nutritionnel,9.97,22.28,-12.3,-13.59,-10.86,1955,68333,True
perimetre,,autres_revendications,13.04,15.64,-2.6,-4.05,-1.01,1955,68333,True
gamme,autres_carnes,effort_nutritionnel,7.0,15.7,-8.7,-10.99,-5.52,357,15715,True
gamme,charcuterie_cuite,effort_nutritionnel,18.37,20.4,-2.03,-5.84,2.46,343,13206,False
gamme,charcuterie_seche,effort_nutritionnel,6.81,17.39,-10.58,-13.34,-6.51,235,6031,True
gamme,decoupes,effort_nutritionnel,10.99,32.45,-21.46,-26.51,-13.31,91,6130,True
gamme,panes,effort_nutritionnel,9.31,32.58,-23.27,-26.74,-18.91,290,2155,True
gamme,plats_cuisines,effort_nutritionnel,16.2,29.81,-13.62,-18.85,-6.63,142,10753,True
gamme,preparations_marinees,effort_nutritionnel,15.04,28.66,-13.62,-19.46,-5.61,113,1776,True
gamme,rillettes_pates_mousses,effort_nutritionnel,7.69,19.66,-11.97,-17.12,0.7,39,5594,False
gamme,saucisses,effort_nutritionnel,2.5,20.51,-18.01,-19.73,-14.99,240,5778,True
gamme,viande_hachee,effort_nutritionnel,4.81,24.24,-19.43,-23.21,-13.0,104,1118,True
gamme,autres_carnes,autres_revendications,8.96,11.86,-2.9,-5.49,0.55,357,15715,False
gamme,charcuterie_cuite,autres_revendications,22.45,20.99,1.46,-2.7,6.22,343,13206,False
gamme,charcuterie_seche,autres_revendications,14.04,22.53,-8.49,-12.5,-3.36,235,6031,True
gamme,decoupes,autres_revendications,3.3,4.63,-1.34,-3.58,4.64,91,6130,False
gamme,panes,autres_revendications,11.03,19.12,-8.08,-11.63,-3.66,290,2155,True
gamme,plats_cuisines,autres_revendications,19.72,14.8,4.92,-0.83,12.26,142,10753,False
gamme,preparations_marinees,autres_revendications,12.39,8.61,3.77,-1.29,11.21,113,1776,False
gamme,rillettes_pates_mousses,autres_revendications,15.38,16.07,-0.69,-8.88,13.69,39,5594,False
gamme,saucisses,autres_revendications,10.0,18.71,-8.71,-12.06,-4.15,240,5778,True
gamme,viande_hachee,autres_revendications,5.77,23.79,-18.02,-22.06,-11.33,104,1118,True
marque,aia,effort_nutritionnel,0.0,2.94,-2.94,-10.1,13.31,20,68,False
marque,carrefour,effort_nutritionnel,53.85,38.59,15.26,-0.25,30.07,39,1332,False
marque,fleury-michon,effort_nutritionnel,50.7,63.85,-13.15,-24.9,-1.44,71,960,True
marque,aia,autres_revendications,25.0,60.29,-35.29,-52.81,-10.41,20,68,True
marque,carrefour,autres_revendications,28.21,30.11,-1.9,-13.83,13.85,39,1332,False
marque,fleury-michon,autres_revendications,42.25,38.12,4.13,-7.11,16.11,71,960,False
difference_des_ecarts,,,,,-9.7,-11.63,-7.89,1955,68333,True
